Name,hydrophobicity,class
seq176,-0.322,DNA
seq177,-0.278,DNA
seq178,-0.397,DNA
seq179,-0.487,DNA
seq180,-0.561,DNA
seq181,-0.764,DNA
seq182,-0.393,DNA
seq183,-0.307,DNA
seq184,-0.496,DNA
seq185,-0.426,DNA
seq186,-0.629,DNA
seq187,-0.491,DNA
seq188,-0.569,DNA
seq189,-0.583,DNA
seq190,-0.41,DNA
seq191,-0.329,DNA
seq192,-0.33,DNA
seq193,-0.125,DNA
seq194,-0.468,DNA
seq195,-0.441,DNA
seq196,-0.62,DNA
seq197,-0.738,DNA
seq198,-0.286,DNA
seq199,-0.616,DNA
seq200,-0.292,DNA
seq201,-0.866,DNA
seq202,-0.598,DNA
seq203,-0.343,DNA
seq204,-0.447,DNA
seq205,-0.422,DNA
seq206,-0.203,DNA
seq207,-0.514,DNA
seq208,-0.866,DNA
seq209,-0.183,DNA
seq210,-0.299,DNA
seq211,-0.764,DNA
seq212,-0.399,DNA
seq213,-0.855,DNA
seq214,-0.124,DNA
seq215,-0.134,DNA
seq216,-0.417,DNA
seq217,-0.336,DNA
seq218,-0.286,DNA
seq219,-0.585,DNA
seq220,-0.544,DNA
seq221,-0.618,DNA
seq222,-0.628,DNA
seq223,-0.346,DNA
seq224,-0.448,DNA
seq225,-0.579,DNA
seq226,-0.407,DNA
seq227,-0.332,DNA
seq228,-0.383,DNA
seq229,-0.467,DNA
seq230,-1.007,DNA
seq231,-0.54,DNA
seq232,-0.24,DNA
seq233,-0.377,DNA
seq234,-0.59,DNA
seq235,-0.576,DNA
seq236,-0.552,DNA
seq237,-0.397,DNA
seq238,-0.258,DNA
seq239,-0.188,DNA
seq240,-0.715,DNA
seq241,-0.751,DNA
seq242,-0.754,DNA
seq243,-0.781,DNA
seq244,-0.587,DNA
seq245,-0.239,DNA
seq246,-0.382,DNA
seq247,-1.094,DNA
seq248,-0.761,DNA
seq249,-0.772,DNA
seq250,-0.353,DNA
seq251,-0.695,DNA
seq252,-0.642,DNA
seq253,-0.595,DNA
seq254,-0.633,DNA
seq255,-0.481,DNA
seq256,-0.503,DNA
seq257,-0.509,DNA
seq258,-0.108,DNA
seq259,-0.754,DNA
seq260,-0.228,DNA
seq261,-0.418,DNA
seq262,-0.41,DNA
seq263,-0.757,DNA
seq264,-0.201,DNA
seq265,-0.335,DNA
seq266,-0.407,DNA
seq267,-0.487,DNA
seq268,-0.376,DNA
seq269,-0.5,DNA
seq270,-0.121,DNA
seq271,-0.215,DNA
seq272,-0.619,DNA
seq273,-0.293,DNA
seq274,-0.356,DNA
seq275,-0.37,DNA
seq276,-0.325,DNA
seq277,-0.276,DNA
seq278,-0.781,DNA
seq279,-0.342,DNA
seq280,-0.534,DNA
seq281,-0.62,DNA
seq282,-0.285,DNA
seq283,-0.335,DNA
seq284,-0.43,DNA
seq285,-0.102,DNA
seq286,-0.7,DNA
seq287,-0.556,DNA
seq288,-0.784,DNA
seq289,-0.551,DNA
seq290,-0.716,DNA
seq291,-0.524,DNA
seq292,-0.33,DNA
seq293,-1.324,DNA
seq294,-0.868,DNA
seq295,-0.499,DNA
seq296,-0.601,DNA
seq297,-0.516,DNA
seq298,-0.643,DNA
seq299,-0.682,DNA
seq300,-0.715,DNA
seq301,-0.316,DNA
seq302,-0.316,DNA
seq303,-0.741,DNA
seq304,-0.521,DNA
seq305,-0.416,DNA
seq306,-0.478,DNA
seq307,-0.414,DNA
seq308,-0.265,DNA
seq309,-0.436,DNA
seq310,-0.305,DNA
seq311,-0.634,DNA
seq312,-0.403,DNA
seq313,-0.45,DNA
seq314,-0.559,DNA
seq315,-0.238,DNA
seq316,-0.191,DNA
seq317,-0.941,DNA
seq318,-0.628,DNA
seq319,-0.364,DNA
seq320,-0.462,DNA
seq321,-0.129,DNA
seq322,0.279,DNA
seq323,-0.491,DNA
seq324,-0.947,DNA
seq325,-0.484,DNA
seq326,-0.348,DNA
seq327,-0.312,DNA
seq328,-0.592,DNA
seq329,-0.549,DNA
seq330,-1.041,DNA
seq331,-0.151,DNA
seq332,-0.278,DNA
seq333,-0.12,DNA
seq334,-0.943,DNA
seq335,-0.621,DNA
seq336,-0.165,DNA
seq337,-1.091,DNA
seq338,-0.447,DNA
seq339,-0.01,DNA
seq340,-0.249,DNA
seq341,-0.782,DNA
seq342,-0.532,DNA
seq343,-0.841,DNA
seq344,-0.156,DNA
seq345,-0.526,DNA
seq346,-0.037,DNA
seq347,-0.415,DNA
seq348,-0.227,DNA
seq349,-0.781,DNA
seq350,-0.784,DNA
seq351,-0.829,DNA
seq352,-0.101,DNA
seq353,-0.147,DNA
seq354,-0.443,DNA
seq355,-0.371,DNA
seq356,-0.507,DNA
seq357,-0.174,DNA
seq358,-0.737,DNA
seq359,-0.478,DNA
seq360,-0.716,DNA
seq361,-0.481,DNA
seq362,-0.708,DNA
seq363,-0.366,DNA
seq364,-0.538,DNA
seq365,0.024,DNA
seq366,-0.415,DNA
seq367,-0.169,DNA
seq368,-1.078,DNA
seq369,-0.727,DNA
seq370,-0.481,DNA
seq371,-0.402,DNA
seq372,-0.252,DNA
seq373,-0.283,DNA
seq374,-0.552,DNA
seq375,-0.998,DNA
seq376,-0.539,DNA
seq377,-0.436,DNA
seq378,-0.697,DNA
seq379,-0.434,DNA
seq380,-0.492,DNA
seq381,-1.304,DNA
seq382,-0.196,DNA
seq383,-0.742,DNA
seq384,-0.79,DNA
seq385,-0.247,DNA
seq386,-0.423,DNA
seq387,-0.742,DNA
seq388,-0.655,DNA
seq389,-0.674,DNA
seq390,-0.649,DNA
seq391,-0.392,RNA
seq392,-0.452,RNA
seq393,-0.014,RNA
seq394,-0.425,RNA
seq395,-0.62,RNA
seq396,-0.414,RNA
seq397,-0.62,RNA
seq398,-0.428,RNA
seq399,-0.381,RNA
seq400,-0.368,RNA
seq401,-0.619,RNA
seq402,-0.473,RNA
seq403,-1.427,RNA
seq404,-0.332,RNA
seq405,-0.161,RNA
seq406,-1.242,RNA
seq407,-0.311,RNA
seq408,-0.459,RNA
seq409,-0.436,RNA
seq410,-0.937,RNA
seq411,-0.371,RNA
seq412,-0.456,RNA
seq413,-0.187,RNA
seq414,-0.503,RNA
seq415,-0.118,RNA
seq416,-0.292,RNA
seq417,-0.687,RNA
seq418,-0.696,RNA
seq419,-0.159,RNA
seq420,-0.396,RNA
seq421,-0.665,RNA
seq422,-0.508,RNA
seq423,-0.67,RNA
seq424,-0.495,RNA
seq425,-0.557,RNA
seq426,-0.79,RNA
seq427,-0.848,RNA
seq428,-0.638,RNA
seq429,-0.434,RNA
seq430,-0.598,RNA
seq431,-0.381,RNA
seq432,-0.283,RNA
seq433,-0.171,RNA
seq434,-0.734,RNA
seq435,-0.862,RNA
seq436,-0.124,RNA
seq437,-0.186,RNA
seq438,-0.228,RNA
seq439,-0.804,RNA
seq440,-0.789,RNA
seq441,-0.659,RNA
seq442,-0.505,RNA
seq443,-0.929,RNA
seq444,-0.675,RNA
seq445,-0.243,RNA
seq446,-0.059,RNA
seq447,-0.06,RNA
seq448,-0.4,RNA
seq449,0.31,RNA
seq450,-0.145,RNA
seq451,-0.15,RNA
seq452,-0.301,RNA
seq453,-0.795,RNA
seq454,-1.733,RNA
seq455,-0.626,RNA
seq456,-0.186,RNA
seq457,-0.976,RNA
seq458,-0.326,RNA
seq459,-0.324,RNA
seq460,-0.052,RNA
seq461,-0.317,RNA
seq462,0.045,RNA
seq463,-0.411,RNA
seq464,-0.224,RNA
seq465,-0.418,RNA
seq466,-0.15,RNA
seq467,-0.951,RNA
seq468,-0.475,RNA
seq469,-0.726,RNA
seq470,-0.503,RNA
seq471,-0.354,RNA
seq472,0.021,RNA
seq473,-0.534,RNA
seq474,-0.23,RNA
seq475,-0.744,RNA
seq476,-0.563,RNA
seq477,0.07,RNA
seq478,-0.917,RNA
seq479,-0.416,RNA
seq480,-0.448,RNA
seq481,-0.33,RNA
seq482,-0.328,RNA
seq483,-0.424,RNA
seq484,-0.762,RNA
seq485,-0.498,RNA
seq486,-0.418,RNA
seq487,-0.686,RNA
seq488,-0.61,RNA
seq489,-0.688,RNA
seq490,-1.193,RNA
seq491,-0.336,RNA
seq492,-0.664,RNA
seq493,-1.204,RNA
seq494,-1.066,RNA
seq495,-0.341,RNA
seq496,-0.209,RNA
seq497,-0.678,RNA
seq498,-0.473,RNA
seq499,0.021,RNA
seq500,-0.977,RNA
seq501,-0.394,RNA
seq502,-0.172,RNA
seq503,-0.155,RNA
seq504,-0.368,RNA
seq505,-0.373,RNA
seq506,-1.093,RNA
seq507,-0.834,RNA
seq508,-0.126,RNA
seq509,-0.316,RNA
seq510,-0.456,RNA
seq511,-0.517,RNA
seq512,-0.565,RNA
seq513,-0.33,RNA
seq514,-0.292,RNA
seq515,-0.749,RNA
seq516,-0.494,RNA
seq517,-0.586,RNA
seq518,-0.618,RNA
seq519,-0.593,RNA
seq520,-0.652,RNA
seq521,-0.235,RNA
seq522,-0.236,RNA
seq523,-0.525,RNA
seq524,-0.439,RNA
seq525,-0.736,RNA
seq526,-0.63,RNA
seq527,-0.153,RNA
seq528,-0.974,RNA
seq529,-0.411,RNA
seq530,-0.131,RNA
seq531,-0.619,RNA
seq532,-0.19,RNA
seq533,-0.699,RNA
seq534,0.045,RNA
seq535,-0.019,RNA
seq536,-0.92,RNA
seq537,-0.597,RNA
seq538,-0.15,RNA
seq539,-0.422,RNA
seq540,-0.5,RNA
seq541,-0.43,RNA
seq542,-0.647,RNA
seq543,-0.443,RNA
seq544,-0.562,RNA
seq545,-0.345,RNA
seq546,-0.421,RNA
seq547,-0.439,RNA
seq548,-0.462,RNA
seq549,-0.245,RNA
seq550,-0.406,RNA
seq551,-0.349,RNA
seq552,-0.363,RNA
seq553,-0.594,RNA
seq554,-0.182,RNA
seq555,-0.468,RNA
seq556,-0.356,RNA
seq557,-0.599,RNA
seq558,0.211,RNA
seq559,-0.931,RNA
seq560,-0.49,RNA
seq561,-0.747,RNA
seq562,0.047,RNA
seq563,-1.16,RNA
seq564,0.02,RNA
seq565,-0.585,RNA
seq566,-0.763,RNA
seq567,-0.344,RNA
seq568,-0.513,RNA
seq569,-0.283,RNA
seq570,-1.03,RNA
seq571,-0.349,RNA
seq572,-0.113,RNA
seq573,-0.174,RNA
seq574,-0.48,RNA
seq575,-0.748,RNA
seq576,-0.328,RNA
seq577,-0.488,RNA
seq578,-0.095,RNA
seq579,-0.243,RNA
seq580,-0.544,RNA
seq581,-0.335,RNA
seq582,-0.277,RNA
seq583,-0.432,RNA
seq584,-0.459,RNA
seq585,-0.468,RNA
seq586,-0.256,RNA
seq587,-0.205,RNA
seq588,-0.891,RNA
seq589,-0.647,RNA
seq590,-0.349,RNA
seq591,-1,RNA
seq592,-0.407,RNA
seq593,-1.152,RNA
seq594,-1.199,RNA
seq595,-0.619,RNA
seq596,-0.703,RNA
seq597,-0.428,RNA
seq598,-0.314,RNA
seq599,-0.422,RNA
seq600,-0.882,RNA
seq601,-0.454,RNA
seq602,-1.501,RNA
seq603,-0.462,RNA
seq604,-0.546,RNA
seq605,-0.554,RNA
seq606,-0.528,RNA
seq607,-0.491,RNA
seq608,-0.724,RNA
seq609,-0.2,RNA
seq610,-0.394,RNA
seq611,-0.45,RNA
seq612,-0.478,RNA
seq613,-0.644,RNA
seq614,-0.32,RNA
seq615,-0.259,RNA
seq616,-0.235,RNA
seq617,-0.354,RNA
seq618,-0.855,RNA
seq619,-0.128,RNA
seq620,-0.067,RNA
seq621,-0.07,RNA
seq622,-0.137,RNA
seq623,-0.543,RNA
seq624,-0.705,RNA
seq625,-0.519,RNA
seq626,-0.017,RNA
seq627,-0.37,RNA
seq628,-0.511,RNA
seq629,-0.697,RNA
seq630,0.066,RNA
seq631,-0.269,RNA
seq632,-0.535,RNA
seq633,-0.389,RNA
seq634,-0.57,RNA
seq635,-0.131,RNA
seq636,-0.386,RNA
seq637,-0.838,RNA
seq638,-0.738,RNA
seq639,-0.318,RNA
seq640,-0.229,RNA
seq641,0.841,RNA
seq642,-0.065,RNA
seq643,-0.555,RNA
seq644,-0.654,RNA
seq645,-0.008,RNA
seq646,-0.917,RNA
seq647,-0.58,RNA
seq648,-0.526,RNA
seq649,-0.219,RNA
seq650,-0.153,RNA
seq651,-0.93,RNA
seq652,-0.454,RNA
seq653,-1.111,RNA
seq654,-0.294,RNA
seq655,-0.54,RNA
seq656,-0.689,RNA
seq657,-0.741,RNA
seq658,-0.525,RNA
seq659,-0.174,RNA
seq660,-0.547,RNA
seq661,-0.335,RNA
seq662,-0.756,RNA
seq663,-0.415,RNA
seq664,-0.271,RNA
seq665,-0.528,RNA
seq666,-0.32,RNA
seq667,-0.901,RNA
seq668,-0.832,RNA
seq669,-0.301,RNA
seq670,-0.384,RNA
seq671,-0.337,RNA
seq672,-0.472,RNA
seq673,-0.289,RNA
seq674,-0.671,RNA
seq675,-0.25,RNA
seq676,-0.534,RNA
seq677,-0.987,RNA
seq678,-0.341,RNA
seq679,-0.652,RNA
seq680,-0.457,RNA
seq681,-0.101,RNA
seq682,-0.269,RNA
seq683,-0.184,RNA
seq684,-0.845,RNA
seq685,-0.306,RNA
seq686,-0.26,RNA
seq687,-0.269,RNA
seq688,-0.465,RNA
seq689,-0.638,RNA
seq690,-0.27,RNA
seq691,-0.265,RNA
seq692,-0.397,RNA
seq693,-0.147,RNA
seq694,-0.447,RNA
seq695,-0.547,RNA
seq696,-0.617,RNA
seq697,-0.415,RNA
seq698,-0.742,RNA
seq699,-0.656,RNA
seq700,-0.707,RNA
seq701,-0.297,RNA
seq702,-0.755,RNA
seq703,-0.889,RNA
seq704,-0.883,RNA
seq705,-1.008,RNA
seq706,-0.511,RNA
seq707,-0.31,RNA
seq708,-0.31,RNA
seq709,-0.053,RNA
seq710,-0.984,RNA
seq711,0.066,RNA
seq712,-0.861,RNA
seq713,-0.336,RNA
seq714,-0.56,RNA
seq715,-0.645,RNA
seq716,-0.152,RNA
seq717,-0.958,RNA
seq718,0.041,RNA
seq719,-0.852,RNA
seq720,-0.51,RNA
seq721,-0.487,RNA
seq722,-0.626,RNA
seq723,-0.997,RNA
seq724,-0.542,RNA
seq725,-0.637,RNA
seq726,-0.396,RNA
seq727,-0.445,RNA
seq728,-0.296,RNA
seq729,-1.082,RNA
seq730,-0.591,RNA
seq731,-0.693,RNA
seq732,-0.644,RNA
seq733,-1.09,RNA
seq734,-0.494,RNA
seq735,-0.495,RNA
seq736,-0.171,RNA
seq737,-0.262,RNA
seq738,-0.083,RNA
seq739,-0.608,RNA
seq740,-0.572,RNA
seq741,-0.521,RNA
seq742,-0.415,RNA
seq743,-0.398,RNA
seq744,-0.321,RNA
seq745,0.091,RNA
seq746,-0.765,RNA
seq747,-0.146,RNA
seq748,-0.465,RNA
seq749,-0.745,RNA
seq750,-0.827,RNA
seq751,-0.121,RNA
seq752,-0.559,RNA
seq753,-0.531,RNA
seq754,-0.515,RNA
seq755,-0.345,RNA
seq756,-0.052,RNA
seq757,-0.15,RNA
seq758,-0.755,RNA
seq759,-0.632,RNA
seq760,-0.164,RNA
seq761,-0.125,RNA
seq762,-0.428,RNA
seq763,-0.357,RNA
seq764,0.234,RNA
seq765,-0.233,RNA
seq766,-0.245,RNA
seq767,-1.219,RNA
seq768,-0.645,RNA
seq769,-0.158,RNA
seq770,-0.197,RNA
seq771,-0.314,RNA
seq772,-0.332,RNA
seq773,0.022,RNA
seq774,-0.772,RNA
seq775,-0.518,RNA
seq776,-0.479,RNA
seq777,-0.307,RNA
seq778,-0.326,RNA
seq779,-0.291,RNA
seq780,-0.06,RNA
seq781,-0.228,RNA
seq782,-0.285,RNA
seq783,-0.829,RNA
seq784,-0.518,RNA
seq785,-0.733,RNA
seq786,-1.152,RNA
seq787,-0.152,RNA
seq788,-0.077,RNA
seq789,-0.407,RNA
seq790,-0.553,RNA
seq791,-0.192,RNA
seq792,0.295,RNA
seq793,-0.671,RNA
seq794,-0.082,RNA
seq795,-0.257,RNA
seq796,-0.585,RNA
seq797,-0.61,RNA
seq798,-0.27,RNA
seq799,-0.104,RNA
seq800,-0.182,RNA
seq801,-1.086,RNA
seq802,-0.194,RNA
seq803,-0.348,RNA
seq804,-0.554,RNA
seq805,-0.256,RNA
seq806,-0.306,RNA
seq807,-0.684,RNA
seq808,-0.71,RNA
seq809,-0.374,RNA
seq810,-0.532,RNA
seq811,-0.214,RNA
seq812,-0.452,RNA
seq813,-0.55,RNA
seq814,-0.274,RNA
seq815,-0.368,RNA
seq816,-0.552,RNA
seq817,-0.647,RNA
seq818,-0.227,RNA
seq819,-0.65,RNA
seq820,-0.501,RNA
seq821,-0.996,RNA
seq822,-0.484,RNA
seq823,-0.491,RNA
seq824,-0.492,RNA
seq825,-0.456,RNA
seq826,0.013,RNA
seq827,-0.335,RNA
seq828,-0.152,RNA
seq829,-0.06,RNA
seq830,-0.457,RNA
seq831,-0.069,RNA
seq832,-0.822,RNA
seq833,-0.847,RNA
seq834,0.037,RNA
seq835,-0.396,RNA
seq836,-0.463,RNA
seq837,-0.316,RNA
seq838,-0.293,RNA
seq839,-0.252,RNA
seq840,-0.333,RNA
seq841,-0.396,RNA
seq842,-0.687,RNA
seq843,0.417,RNA
seq844,-0.371,RNA
seq845,-0.709,RNA
seq846,-0.167,RNA
seq847,-0.522,RNA
seq848,-0.293,RNA
seq849,-0.599,RNA
seq850,-1.256,RNA
seq851,-0.152,RNA
seq852,-0.251,RNA
seq853,-0.38,RNA
seq854,-1.425,RNA
seq855,-0.421,RNA
seq856,-0.812,RNA
seq857,-0.453,RNA
seq858,-1.239,RNA
seq859,-0.354,RNA
seq860,-0.311,RNA
seq861,-0.109,RNA
seq862,-0.585,RNA
seq863,-0.045,RNA
seq864,-0.326,RNA
seq865,-0.269,RNA
seq866,-0.535,RNA
seq867,-0.988,RNA
seq868,-0.046,RNA
seq869,-0.685,RNA
seq870,-1.205,RNA
seq871,-0.613,RNA
seq872,-1.07,RNA
seq873,-0.54,RNA
seq874,-0.461,RNA
seq875,-0.409,RNA
seq876,-0.375,RNA
seq877,-0.201,RNA
seq878,-0.429,RNA
seq879,-0.301,RNA
seq880,-0.408,RNA
seq881,-0.936,RNA
seq882,-1.277,RNA
seq883,0.127,RNA
seq884,-0.905,RNA
seq885,-1.083,RNA
seq886,-0.565,RNA
seq887,-0.091,RNA
seq888,-0.239,RNA
seq889,-0.531,RNA
seq890,-0.082,RNA
seq891,-0.117,RNA
seq892,-1.053,RNA
seq893,-0.325,RNA
seq894,-0.209,RNA
seq895,-0.12,RNA
seq896,-0.901,RNA
seq897,-0.329,RNA
seq898,-0.173,RNA
seq899,-0.468,RNA
seq900,-0.365,RNA
seq901,-0.42,RNA
seq902,-0.383,RNA
seq903,-0.538,RNA
seq904,-0.369,RNA
seq905,-0.617,RNA
seq906,-0.228,RNA
seq907,-0.38,RNA
seq908,-0.266,RNA
seq909,-0.567,RNA
seq910,-0.948,RNA
seq911,-0.426,RNA
seq912,-0.31,RNA
seq913,-0.421,RNA
seq914,-0.834,DRNA
seq915,-1.092,DRNA
seq916,-0.578,DRNA
seq917,-0.557,DRNA
seq918,-0.157,DRNA
seq919,-0.297,DRNA
seq920,-0.304,DRNA
seq921,-0.306,DRNA
seq922,-0.633,DRNA
seq923,-0.345,DRNA
seq924,-0.318,DRNA
seq925,-0.337,DRNA
seq926,-0.581,DRNA
seq927,-0.464,DRNA
seq928,-0.282,DRNA
seq929,-0.391,DRNA
seq930,-0.535,DRNA
seq931,-0.44,DRNA
seq932,0.017,DRNA
seq933,-0.626,DRNA
seq934,-0.603,DRNA
seq935,-0.435,DRNA
seq936,-0.42,nonDRNA
seq937,0.013,nonDRNA
seq938,-0.446,nonDRNA
seq939,-0.268,nonDRNA
seq940,-0.117,nonDRNA
seq941,-0.305,nonDRNA
seq942,-0.197,nonDRNA
seq943,-0.205,nonDRNA
seq944,-0.208,nonDRNA
seq945,-0.201,nonDRNA
seq946,-0.195,nonDRNA
seq947,0.345,nonDRNA
seq948,-0.371,nonDRNA
seq949,-0.347,nonDRNA
seq950,0.562,nonDRNA
seq951,0.169,nonDRNA
seq952,-0.398,nonDRNA
seq953,-0.45,nonDRNA
seq954,-0.793,nonDRNA
seq955,-0.256,nonDRNA
seq956,0.03,nonDRNA
seq957,-0.176,nonDRNA
seq958,-0.362,nonDRNA
seq959,-0.2,nonDRNA
seq960,-0.343,nonDRNA
seq961,-0.304,nonDRNA
seq962,-0.065,nonDRNA
seq963,0.087,nonDRNA
seq964,-1.007,nonDRNA
seq965,-0.405,nonDRNA
seq966,0.041,nonDRNA
seq967,0.027,nonDRNA
seq968,-0.386,nonDRNA
seq969,-0.15,nonDRNA
seq970,-0.152,nonDRNA
seq971,0.008,nonDRNA
seq972,-0.036,nonDRNA
seq973,-0.392,nonDRNA
seq974,0.686,nonDRNA
seq975,-0.558,nonDRNA
seq976,-0.037,nonDRNA
seq977,-0.419,nonDRNA
seq978,-0.423,nonDRNA
seq979,-0.705,nonDRNA
seq980,-0.301,nonDRNA
seq981,-0.038,nonDRNA
seq982,0.23,nonDRNA
seq983,0.065,nonDRNA
seq984,-0.121,nonDRNA
seq985,-0.137,nonDRNA
seq986,-0.362,nonDRNA
seq987,-0.612,nonDRNA
seq988,-0.152,nonDRNA
seq989,-0.303,nonDRNA
seq990,0.12,nonDRNA
seq991,-0.594,nonDRNA
seq992,-0.376,nonDRNA
seq993,0.624,nonDRNA
seq994,-0.443,nonDRNA
seq995,-0.271,nonDRNA
seq996,0.021,nonDRNA
seq997,-0.057,nonDRNA
seq998,-0.26,nonDRNA
seq999,-0.163,nonDRNA
seq1000,-0.697,nonDRNA
seq1001,-0.517,nonDRNA
seq1002,-0.044,nonDRNA
seq1003,-0.047,nonDRNA
seq1004,0.137,nonDRNA
seq1005,-0.402,nonDRNA
seq1006,-0.393,nonDRNA
seq1007,-0.335,nonDRNA
seq1008,-0.155,nonDRNA
seq1009,-0.062,nonDRNA
seq1010,-0.484,nonDRNA
seq1011,-0.004,nonDRNA
seq1012,-0.295,nonDRNA
seq1013,-0.3,nonDRNA
seq1014,-0.35,nonDRNA
seq1015,-0.57,nonDRNA
seq1016,-0.503,nonDRNA
seq1017,-0.752,nonDRNA
seq1018,-0.547,nonDRNA
seq1019,-0.429,nonDRNA
seq1020,0.38,nonDRNA
seq1021,-0.472,nonDRNA
seq1022,-0.802,nonDRNA
seq1023,-0.787,nonDRNA
seq1024,0.015,nonDRNA
seq1025,-0.03,nonDRNA
seq1026,-0.057,nonDRNA
seq1027,-0.582,nonDRNA
seq1028,-0.168,nonDRNA
seq1029,-0.339,nonDRNA
seq1030,0.048,nonDRNA
seq1031,-0.111,nonDRNA
seq1032,-0.412,nonDRNA
seq1033,-0.113,nonDRNA
seq1034,-0.383,nonDRNA
seq1035,-0.221,nonDRNA
seq1036,-0.386,nonDRNA
seq1037,-0.018,nonDRNA
seq1038,-0.703,nonDRNA
seq1039,-0.073,nonDRNA
seq1040,-0.381,nonDRNA
seq1041,-0.561,nonDRNA
seq1042,0.065,nonDRNA
seq1043,0.095,nonDRNA
seq1044,0.186,nonDRNA
seq1045,0.326,nonDRNA
seq1046,-0.165,nonDRNA
