seq,class,predicted class na�ve,predicted class knn,nondrna na_Ѣve,drna na_Ѣve,rna na_Ѣve,dna na_Ѣve,nondrna knn,drna knn,rna knn,dna knn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,,,,
11,DNA,DNA,nonDRNA,1.12E-05,1.68E-07,0.003487623,0.996501042,1,0,0,0,33,0,14,46,32,21,49,17,36,0,38,50,19,23,0,43,18,35,67,37,0,29,4,0,15,0,4,0,15,0
12,DNA,DRNA,nonDRNA,0.211800482,0.536622706,1.83E-04,0.2513937,1,0,0,0,88,0,17,57,38,25,33,25,29,0,24,84,16,37,0,51,41,61,78,44,0,36,19,0,18,0,19,0,18,0
13,DNA,RNA,nonDRNA,1.36E-07,1.06E-10,0.658653256,0.341346608,0.874693131,0,0.125306869,0,14,0,5,10,13,6,10,7,9,0,7,16,2,2,0,3,5,16,5,10,0,9,5,0,2,0,5,0,2,0
14,DNA,DNA,nonDRNA,6.41E-06,2.04E-06,4.45E-09,0.999991541,0.873780127,0,0,0.126219873,52,0,39,32,35,16,49,8,9,0,41,41,5,6,0,64,33,62,36,32,0,29,8,0,8,0,8,0,8,0
15,DNA,RNA,RNA,1.45E-07,2.80E-11,0.982297006,0.017702849,0.3740128,0,0.6259872,0,30,0,0,4,6,1,8,2,6,0,58,6,2,3,0,16,5,7,21,6,0,12,0,0,3,0,0,0,3,0
16,DNA,DRNA,nonDRNA,5.14E-04,0.999486151,3.10E-08,9.62E-08,1,0,0,0,67,0,14,62,75,30,71,19,48,0,126,90,25,36,0,44,34,33,85,42,0,68,13,0,32,0,13,0,32,0
17,DNA,RNA,nonDRNA,1.45E-07,1.22E-10,0.907599149,0.092400706,0.62111934,0,0.125731908,0.253148753,8,0,1,5,14,2,4,3,7,0,8,9,3,4,0,6,3,7,6,6,0,4,2,0,3,0,2,0,3,0
18,DNA,DRNA,nonDRNA,6.52E-05,0.999934595,8.17E-12,2.24E-07,1,0,0,0,80,0,12,61,81,41,83,20,63,0,71,87,23,38,0,45,27,55,87,64,0,80,10,0,43,0,10,0,43,0
19,DNA,RNA,RNA,5.10E-08,5.09E-12,0.986101566,0.013898383,0.497537496,0,0.502462504,0,16,0,1,9,14,8,23,0,4,0,6,7,2,5,0,9,3,14,16,12,0,12,3,0,1,0,3,0,1,0
20,DNA,RNA,DNA,4.21E-08,2.19E-12,0.994784212,0.005215746,0.122357215,0,0.2427867,0.634856085,18,0,0,4,5,1,15,6,9,0,14,12,1,1,0,3,5,9,8,8,0,7,0,0,2,0,0,0,2,0
21,DNA,RNA,DNA,1.77E-06,3.40E-11,0.983331072,0.016667163,0.123253094,0,0.12129194,0.755454965,16,0,0,4,5,1,15,6,9,0,14,12,1,1,0,3,5,9,9,8,0,8,0,0,2,0,0,0,2,0
22,DNA,RNA,nonDRNA,2.80E-06,8.54E-11,0.935257412,0.064739793,0.751795768,0,0.125040625,0.123163607,17,0,0,6,22,11,9,2,14,0,10,27,6,11,0,4,8,21,12,6,0,6,1,0,3,0,1,0,3,0
23,DNA,DNA,nonDRNA,4.76E-05,7.09E-06,0.00243341,0.997511849,0.875624849,0,0,0.124375151,38,0,9,35,34,28,57,13,31,0,27,53,14,42,0,64,59,29,53,51,0,42,2,0,15,0,2,0,15,0
24,DNA,RNA,nonDRNA,1.59E-07,8.31E-11,0.847348351,0.152651489,1,0,0,0,12,0,2,21,21,17,19,6,24,0,29,19,12,11,0,12,9,14,17,21,0,18,2,0,12,0,2,0,12,0
25,DNA,DNA,nonDRNA,3.61E-07,1.09E-08,0.010787051,0.989212577,1,0,0,0,21,0,7,42,45,18,29,13,27,0,43,38,16,29,0,17,20,27,43,32,0,23,8,0,13,0,8,0,13,0
26,DNA,RNA,nonDRNA,1.31E-07,1.60E-10,0.865297246,0.134702623,0.377335755,0,0.248461841,0.374202404,10,0,1,5,17,6,4,2,7,0,11,10,5,8,0,2,4,7,13,3,0,9,0,0,3,0,0,0,3,0
27,DNA,RNA,nonDRNA,1.40E-07,1.32E-10,0.714025974,0.285973886,1,0,0,0,9,0,4,12,3,6,6,3,12,0,8,12,4,7,0,15,5,8,11,8,0,5,3,0,6,0,3,0,6,0
28,DNA,RNA,RNA,3.98E-08,3.42E-12,0.995889303,0.004110657,0.249971718,0,0.500718263,0.249310019,13,0,0,1,11,1,10,2,5,0,8,11,3,3,0,4,5,11,10,2,0,7,0,0,0,0,0,0,0,0
29,DNA,DNA,nonDRNA,1.73E-05,7.84E-07,0.011197109,0.988784838,1,0,0,0,57,0,14,31,47,34,32,15,20,0,40,65,9,32,0,15,27,30,49,33,0,29,11,0,15,0,11,0,15,0
30,DNA,RNA,nonDRNA,4.77E-08,6.57E-12,0.987503252,0.0124967,0.749103435,0,0.250896565,0,18,0,0,11,14,4,18,1,9,0,22,3,4,6,0,9,5,7,14,7,0,6,1,0,3,0,1,0,3,0
31,DNA,DNA,nonDRNA,0.089991956,0.017312076,0.042582774,0.850113194,0.866983585,0,0,0.133016415,61,0,6,43,24,30,60,20,29,0,35,45,13,46,0,56,40,32,45,69,0,35,16,0,29,0,16,0,29,0
32,DNA,DNA,nonDRNA,0.052241448,0.007388988,0.039805217,0.900564347,0.869050131,0,0,0.130949869,54,0,4,40,27,33,64,15,31,0,37,42,14,56,0,61,32,32,38,62,0,41,15,0,29,0,15,0,29,0
33,DNA,DNA,nonDRNA,1.72E-04,6.89E-07,5.60E-04,0.999266952,0.750658878,0,0,0.249341122,34,0,23,24,28,18,57,15,9,0,24,59,5,7,0,54,19,47,59,20,0,31,12,0,14,0,12,0,14,0
34,DNA,RNA,nonDRNA,1.85E-06,3.59E-11,0.991644405,0.008353749,0.625931362,0,0.123289563,0.250779075,8,0,0,1,5,2,7,1,4,0,2,6,3,6,0,1,8,5,7,3,0,3,0,0,0,0,0,0,0,0
35,DNA,DNA,nonDRNA,6.61E-06,3.43E-06,0.142196527,0.857793437,0.502109212,0,0,0.497890788,34,0,6,35,17,12,43,30,16,0,17,34,24,18,0,49,27,18,42,18,0,23,3,0,11,0,3,0,11,0
36,DNA,RNA,nonDRNA,1.55E-07,1.54E-10,0.970259387,0.029740458,0.876025711,0,0,0.123974289,5,0,1,6,7,1,1,2,5,0,6,10,3,5,0,3,3,3,4,1,0,5,0,0,1,0,0,0,1,0
37,DNA,RNA,nonDRNA,1.54E-07,1.19E-10,0.96007563,0.039924216,0.875614852,0,0.124385148,0,7,0,0,7,5,3,6,0,4,0,2,9,2,2,0,6,1,8,6,5,0,5,0,0,1,0,0,0,1,0
38,DNA,DNA,nonDRNA,3.71E-07,8.58E-09,0.016689658,0.983309962,0.624773312,0,0.250379452,0.124847235,32,0,4,32,17,14,30,15,27,0,48,37,8,19,0,20,28,28,48,40,0,24,11,0,14,0,11,0,14,0
39,DNA,RNA,nonDRNA,7.59E-08,2.96E-12,0.962511479,0.037488445,0.875307113,0,0,0.124692887,28,0,2,10,13,5,16,6,9,0,3,24,5,0,0,9,7,26,10,17,0,18,2,0,5,0,2,0,5,0
40,DNA,RNA,nonDRNA,2.08E-08,7.72E-12,0.977308396,0.022691583,0.874216883,0,0,0.125783117,11,0,1,13,24,9,15,7,11,0,7,20,12,5,0,14,7,22,9,12,0,22,3,0,5,0,3,0,5,0
41,DNA,DNA,nonDRNA,4.39E-06,1.19E-06,0.002642146,0.997352275,1,0,0,0,42,0,10,30,51,13,30,26,29,0,44,51,10,31,0,51,35,30,57,37,0,33,12,0,14,0,12,0,14,0
42,DNA,RNA,DNA,1.18E-07,1.12E-10,0.867865149,0.132134733,0.366426878,0,0.243961071,0.389612052,16,0,0,4,7,5,7,2,7,0,16,13,1,1,0,5,8,17,10,9,0,6,0,0,2,0,0,0,2,0
43,DNA,RNA,DNA,3.84E-08,2.02E-12,0.993178704,0.006821257,0.246449055,0,0.222025755,0.53152519,18,0,2,4,7,4,7,2,7,0,13,12,3,1,0,6,8,18,5,10,0,6,0,0,3,0,0,0,3,0
44,DNA,RNA,DNA,3.80E-08,3.65E-12,0.991893466,0.008106496,0.246575943,0,0.220853894,0.532570163,18,0,1,4,7,4,7,2,7,0,13,12,3,1,0,6,8,18,6,10,0,6,0,0,3,0,0,0,3,0
45,DNA,RNA,DNA,3.78E-08,3.64E-12,0.992434834,0.007565128,0,0,0.335932035,0.664067965,18,0,1,4,7,4,8,2,8,0,13,12,2,1,0,6,8,18,6,10,0,5,0,0,3,0,0,0,3,0
46,DNA,RNA,DNA,1.62E-06,3.05E-11,0.980289265,0.019709115,0.248244936,0,0.347383548,0.404371516,17,0,2,4,7,3,7,2,7,0,11,13,2,2,0,6,8,18,6,11,0,6,0,0,3,0,0,0,3,0
47,DNA,RNA,DNA,9.42E-09,6.07E-13,0.997193514,0.002806476,0.36054709,0,0.231703888,0.407749022,18,0,2,4,7,4,6,2,7,0,14,12,3,1,0,6,8,18,4,10,0,7,0,0,3,0,0,0,3,0
48,DNA,RNA,nonDRNA,6.50E-08,2.04E-10,0.899047117,0.100952817,1,0,0,0,28,0,2,14,19,8,8,17,16,0,19,39,2,15,0,17,22,24,11,12,0,23,5,0,8,0,5,0,8,0
49,DNA,DNA,nonDRNA,1.89E-06,6.82E-09,0.219557367,0.780440734,1,0,0,0,25,0,8,31,35,11,54,30,20,0,32,20,8,8,0,23,15,14,23,24,0,25,2,0,6,0,2,0,6,0
50,DNA,DNA,nonDRNA,4.31E-07,2.58E-10,0.407873825,0.592125744,0.875507246,0,0,0.124492754,31,0,12,22,26,16,25,6,16,0,18,37,6,17,0,23,13,21,25,22,0,19,6,0,9,0,6,0,9,0
51,DNA,DNA,nonDRNA,2.56E-05,1.10E-08,0.018167295,0.981807127,0.628915014,0,0.121321502,0.249763484,21,0,18,20,27,16,33,8,22,0,27,46,14,15,0,44,20,24,44,31,0,19,1,0,12,0,1,0,12,0
52,DNA,RNA,nonDRNA,1.73E-06,2.88E-11,0.990595581,0.009402687,0.500585222,0,0.250365817,0.249048961,6,0,1,5,4,1,6,0,6,0,6,9,2,2,0,1,4,3,6,7,0,6,1,0,2,0,1,0,2,0
53,DNA,RNA,nonDRNA,5.52E-08,8.65E-12,0.985257083,0.014742862,0.875628826,0,0,0.124371174,22,0,4,9,20,3,5,2,11,0,10,16,3,9,0,4,18,8,17,5,0,8,1,0,1,0,1,0,1,0
54,DNA,DNA,nonDRNA,3.46E-05,1.16E-05,0.00519205,0.994761739,0.875120315,0,0,0.124879685,49,0,18,32,48,24,31,15,41,0,60,54,22,32,0,17,35,24,49,32,0,38,7,0,21,0,7,0,21,0
55,DNA,RNA,nonDRNA,1.49E-07,1.26E-10,0.967062622,0.032937228,0.500573116,0,0.123066373,0.376360511,10,0,0,3,7,1,6,1,7,0,2,7,2,5,0,0,3,8,6,4,0,6,0,0,0,0,0,0,0,0
56,DNA,DNA,nonDRNA,3.10E-06,1.42E-07,0.04188526,0.958111499,1,0,0,0,70,0,3,23,42,16,43,7,31,0,32,43,20,13,0,38,39,19,35,29,0,42,3,0,11,0,3,0,11,0
57,DNA,DNA,nonDRNA,9.47E-05,1.96E-06,0.019514092,0.980389286,1,0,0,0,35,0,13,32,44,29,30,11,30,0,46,42,9,35,0,29,31,25,47,34,0,52,17,0,19,0,17,0,19,0
58,DNA,RNA,nonDRNA,2.83E-07,4.13E-11,0.743674737,0.25632498,1,0,0,0,37,0,4,15,28,11,23,8,21,0,15,25,16,14,0,16,10,25,17,16,0,24,4,0,12,0,4,0,12,0
59,DNA,DRNA,nonDRNA,1.37E-06,0.99999863,5.02E-18,1.22E-11,1,0,0,0,58,0,9,82,108,47,51,22,63,0,119,124,20,61,0,41,46,61,69,49,0,47,13,0,39,0,13,0,39,0
60,DNA,RNA,nonDRNA,8.52E-08,5.69E-12,0.987897028,0.012102887,1,0,0,0,5,0,9,1,2,5,7,3,15,0,5,10,3,12,0,6,6,6,10,15,0,8,1,0,4,0,1,0,4,0
61,DNA,RNA,DNA,1.20E-08,5.18E-12,0.990513989,0.009485999,0.37145743,0,0.250342337,0.378200233,19,0,3,8,8,9,8,4,21,0,16,15,5,11,0,9,6,12,14,8,0,13,0,0,9,0,0,0,9,0
62,DNA,RNA,nonDRNA,1.08E-08,1.35E-12,0.997052068,0.002947921,0.623658883,0,0.123562001,0.252779116,4,0,2,3,11,5,3,4,12,0,14,10,4,14,0,3,5,8,10,6,0,5,1,0,2,0,1,0,2,0
63,DNA,DNA,nonDRNA,7.58E-08,6.12E-10,0.0157621,0.984237823,0.622786724,0,0,0.377213276,41,0,5,17,29,10,37,14,21,0,21,27,14,23,0,16,30,22,48,23,0,19,2,0,11,0,2,0,11,0
64,DNA,DNA,nonDRNA,1.21E-07,4.60E-10,0.158457331,0.841542547,0.875421377,0,0.124578623,0,12,0,6,20,29,21,16,3,24,0,31,21,8,17,0,7,8,13,14,5,0,18,3,0,16,0,3,0,16,0
65,DNA,DNA,DNA,9.18E-07,8.61E-08,0.006964663,0.993034333,0.498292793,0,0,0.501707207,30,0,11,29,38,25,31,17,8,0,21,38,15,11,0,71,35,28,36,15,0,22,4,0,25,0,4,0,25,0
66,DNA,DNA,DNA,3.00E-06,4.71E-08,0.045245169,0.954751787,0.124136819,0,0,0.875863181,22,0,11,27,37,25,23,16,13,0,22,27,19,19,0,54,30,29,39,15,0,20,4,0,25,0,4,0,25,0
67,DNA,DNA,nonDRNA,0.001081522,0.00646851,0.006135779,0.986314189,1,0,0,0,53,0,6,32,58,15,31,22,29,0,44,77,20,42,0,58,75,35,60,35,0,45,7,0,19,0,7,0,19,0
68,DNA,DNA,nonDRNA,1.79E-07,2.82E-09,0.006020543,0.993979276,0.750358849,0,0.124999764,0.124641387,30,0,13,24,33,19,35,10,21,0,31,36,14,21,0,32,23,25,43,33,0,34,6,0,17,0,6,0,17,0
69,DNA,DRNA,nonDRNA,3.41E-08,0.999999966,3.40E-25,7.29E-15,0.874379858,0,0,0.125620142,78,0,9,73,91,27,61,21,55,0,159,84,28,43,0,49,42,49,132,57,0,52,8,0,30,0,8,0,30,0
70,DNA,DNA,nonDRNA,0.00142728,0.191109215,2.05E-04,0.807258996,0.874911995,0,0.125088005,0,38,0,15,48,57,36,36,19,30,0,63,71,23,34,0,32,29,27,47,31,0,34,12,0,26,0,12,0,26,0
71,DNA,RNA,nonDRNA,1.92E-07,2.13E-09,0.650828222,0.349171584,0.750569779,0,0.124531633,0.124898588,26,0,3,19,15,8,35,9,19,0,14,22,6,12,0,39,19,26,45,26,0,29,2,0,17,0,2,0,17,0
72,DNA,RNA,nonDRNA,2.74E-07,1.76E-10,0.809460939,0.190538787,1,0,0,0,16,0,3,23,20,12,12,6,26,0,36,23,9,17,0,8,4,11,24,11,0,19,6,0,19,0,6,0,19,0
73,DNA,DNA,nonDRNA,1.13E-06,3.11E-07,0.035255204,0.964743357,0.876419097,0,0,0.123580903,33,0,5,36,32,17,29,13,17,0,27,59,12,15,0,53,23,19,70,25,0,33,3,0,8,0,3,0,8,0
74,DNA,DNA,nonDRNA,5.19E-05,4.62E-08,0.006714438,0.993233649,0.751156101,0,0,0.248843899,42,0,19,27,27,18,51,11,22,0,22,45,14,22,0,24,29,37,52,8,0,24,2,0,12,0,2,0,12,0
75,DNA,DNA,nonDRNA,3.67E-05,9.89E-09,0.020027892,0.979935437,0.874121368,0,0,0.125878632,35,0,19,18,27,17,46,9,20,0,15,33,7,15,0,42,16,32,31,21,0,33,8,0,5,0,8,0,5,0
76,DNA,DRNA,nonDRNA,3.79E-13,1,7.06E-33,1.72E-42,1,0,0,0,179,0,26,59,49,14,121,47,44,0,38,172,12,27,0,101,127,72,67,78,0,131,5,0,4,0,5,0,4,0
77,DNA,DNA,nonDRNA,3.08E-07,6.89E-09,0.015413886,0.984585799,1,0,0,0,32,0,8,30,42,26,30,11,21,0,35,56,16,16,0,20,21,36,35,25,0,32,7,0,11,0,7,0,11,0
78,DNA,RNA,nonDRNA,1.50E-07,4.04E-11,0.82293044,0.17706941,1,0,0,0,22,0,3,18,16,14,20,7,16,0,10,31,8,5,0,17,18,23,12,19,0,12,4,0,14,0,4,0,14,0
79,DNA,RNA,nonDRNA,4.72E-08,2.41E-12,0.991171427,0.008828526,0.748983226,0,0.124967064,0.12604971,16,0,0,6,13,4,15,3,2,0,8,6,4,3,0,3,4,11,16,3,0,6,2,0,6,0,2,0,6,0
80,DNA,RNA,nonDRNA,8.24E-08,3.94E-12,0.961665086,0.038334831,0.873599447,0,0.126400553,0,25,0,4,5,16,9,21,8,2,0,6,31,3,3,0,18,3,24,8,10,0,13,3,0,7,0,3,0,7,0
81,DNA,DNA,nonDRNA,8.84E-04,0.065842168,8.60E-08,0.933273464,0.87431628,0,0.12568372,0,47,0,26,44,50,40,53,19,19,0,50,86,15,30,0,52,39,38,67,37,0,36,10,0,24,0,10,0,24,0
82,DNA,DNA,DNA,9.06E-07,2.22E-09,0.181852153,0.818146938,0.250065029,0,0,0.749934971,21,0,2,18,22,16,17,5,23,0,32,47,7,21,0,52,17,9,60,29,0,21,4,0,8,0,4,0,8,0
83,DNA,DNA,nonDRNA,9.44E-07,7.14E-10,0.088099933,0.911899122,0.625741557,0,0.24676288,0.127495563,29,0,13,21,28,17,32,15,20,0,26,48,17,18,0,35,14,25,45,24,0,24,2,0,9,0,2,0,9,0
84,DNA,DRNA,nonDRNA,0.011239079,0.98841997,9.05E-06,3.32E-04,0.745967146,0,0,0.254032854,48,0,20,58,59,51,31,21,64,0,62,89,14,49,0,47,43,45,97,48,0,46,4,0,28,0,4,0,28,0
85,DNA,DNA,nonDRNA,4.34E-06,1.06E-08,0.075822303,0.924173342,0.750327522,0,0.124473321,0.125199158,25,0,7,33,31,21,23,13,26,0,35,50,13,38,0,14,24,35,47,21,0,22,12,0,14,0,12,0,14,0
86,DNA,DNA,nonDRNA,0.004157084,0.010669036,0.157864992,0.827308888,0.875249441,0,0.124750559,0,66,0,6,38,59,22,51,18,31,0,24,78,24,31,0,20,47,60,35,33,0,41,13,0,23,0,13,0,23,0
87,DNA,DNA,nonDRNA,2.50E-05,4.07E-09,0.254042483,0.745932519,0.875374084,0,0,0.124625916,19,0,11,13,23,9,14,19,13,0,26,25,11,17,0,18,23,14,32,28,0,30,8,0,15,0,8,0,15,0
88,DNA,RNA,nonDRNA,1.38E-07,1.47E-10,0.880714039,0.119285823,0.874779492,0,0,0.125220508,5,0,2,6,14,1,3,0,11,0,9,19,2,10,0,1,9,9,9,4,0,10,1,0,5,0,1,0,5,0
89,DNA,RNA,nonDRNA,7.30E-07,7.83E-08,0.503764806,0.496234386,0.875918194,0,0,0.124081806,17,0,6,29,33,24,26,8,42,0,31,41,11,21,0,14,13,19,23,27,0,27,3,0,18,0,3,0,18,0
90,DNA,nonDRNA,nonDRNA,0.999999998,1.95E-09,7.58E-24,1.03E-16,0.748694992,0,0.126435818,0.12486919,14,0,11,36,26,23,37,30,24,0,47,62,37,219,0,19,36,22,105,20,0,20,5,0,20,0,5,0,20,0
91,DNA,RNA,nonDRNA,6.56E-08,4.88E-12,0.959080767,0.040919168,0.876124488,0,0,0.123875512,8,0,4,9,18,9,9,3,18,0,13,18,7,10,0,10,11,19,19,10,0,10,2,0,7,0,2,0,7,0
92,DNA,RNA,nonDRNA,4.60E-07,6.61E-10,0.605733412,0.394266128,0.624314149,0,0,0.375685851,35,0,5,16,30,7,29,9,21,0,23,25,18,18,0,22,28,21,32,13,0,9,1,0,14,0,1,0,14,0
93,DNA,RNA,nonDRNA,4.00E-08,2.95E-12,0.992602641,0.007397319,0.62103946,0,0,0.37896054,14,0,3,5,20,5,3,2,6,0,14,10,3,6,0,1,10,9,10,8,0,6,0,0,3,0,0,0,3,0
94,DNA,DNA,DNA,4.56E-08,2.54E-10,0.014027236,0.985972718,0.493001932,0,0,0.506998068,24,0,10,20,30,11,23,12,8,0,20,32,12,14,0,45,15,26,38,22,0,18,4,0,9,0,4,0,9,0
95,DNA,DNA,nonDRNA,4.38E-08,1.97E-10,0.013458471,0.986541485,0.619460809,0,0,0.380539191,23,0,12,17,32,13,24,11,9,0,24,35,10,8,0,38,14,24,35,23,0,20,3,0,12,0,3,0,12,0
96,DNA,RNA,nonDRNA,4.99E-08,7.00E-12,0.987457705,0.012542245,0.749050406,0,0,0.250949594,7,0,0,7,12,5,6,3,7,0,10,17,6,7,0,1,13,7,9,12,0,4,0,0,6,0,0,0,6,0
97,DNA,RNA,nonDRNA,1.51E-07,1.31E-10,0.959199794,0.040800055,0.750524562,0,0.249475438,0,8,0,0,7,6,4,6,2,0,0,6,14,2,0,0,1,5,5,3,1,0,11,0,0,0,0,0,0,0,0
98,DNA,DNA,nonDRNA,6.46E-04,0.062201983,1.39E-07,0.937152187,0.875869792,0,0,0.124130208,41,0,27,40,78,17,39,33,22,0,65,35,23,24,0,50,40,45,34,47,0,48,1,0,18,0,1,0,18,0
99,DNA,DNA,nonDRNA,3.58E-04,6.22E-05,1.49E-07,0.999579362,0.873947672,0,0,0.126052328,40,0,33,46,58,15,34,19,22,0,46,44,13,14,0,51,40,71,42,22,0,23,7,0,16,0,7,0,16,0
100,DNA,DRNA,nonDRNA,0.102813112,0.866661942,7.56E-04,0.029768627,0.490649646,0.132893228,0.255637269,0.120819858,96,0,1,35,90,31,62,11,14,0,25,134,14,7,0,48,22,82,22,35,0,52,2,0,28,0,2,0,28,0
101,DNA,DRNA,nonDRNA,0.051488731,0.916702619,0.001082662,0.030725989,0.749359766,0,0,0.250640234,51,0,14,41,70,34,31,15,53,0,54,78,23,60,0,39,33,44,95,60,0,54,11,0,26,0,11,0,26,0
102,DNA,DNA,nonDRNA,2.05E-05,4.56E-09,0.212605054,0.787374414,0.624735929,0,0,0.375264071,37,0,5,17,30,18,28,12,24,0,26,29,10,13,0,30,25,20,45,20,0,21,6,0,18,0,6,0,18,0
103,DNA,RNA,nonDRNA,4.39E-08,4.01E-12,0.993281892,0.006718064,0.75085139,0,0,0.24914861,16,0,0,3,9,2,5,3,6,0,8,14,5,3,0,4,5,5,16,3,0,8,0,0,3,0,0,0,3,0
104,DNA,RNA,nonDRNA,7.84E-08,9.78E-12,0.974272471,0.025727451,0.875910261,0,0,0.124089739,18,0,9,8,16,5,6,9,5,0,9,19,5,3,0,7,11,10,6,9,0,13,0,0,3,0,0,0,3,0
105,DNA,DNA,DNA,1.27E-06,4.07E-09,0.091455272,0.908543452,0.127107931,0,0,0.872892069,22,0,12,28,26,17,24,13,12,0,23,36,9,23,0,42,24,22,42,17,0,16,10,0,18,0,10,0,18,0
106,DNA,DNA,nonDRNA,4.69E-07,8.58E-11,0.387750094,0.612249437,0.873842358,0,0,0.126157642,23,0,12,17,38,13,20,7,19,0,18,39,11,18,0,16,9,21,28,20,0,18,5,0,10,0,5,0,10,0
107,DNA,RNA,nonDRNA,3.26E-07,3.73E-11,0.705328069,0.294671606,0.750882093,0,0,0.249117907,37,0,9,25,19,8,22,8,7,0,9,27,5,9,0,37,9,25,31,13,0,8,1,0,9,0,1,0,9,0
108,DNA,RNA,nonDRNA,2.82E-05,1.28E-08,0.533114834,0.466856994,0.625081091,0,0.249453045,0.125465864,21,0,3,19,49,23,19,7,32,0,53,43,5,17,0,4,9,25,16,13,0,26,1,0,14,0,1,0,14,0
109,DNA,RNA,nonDRNA,1.59E-07,1.28E-10,0.974859432,0.025140409,0.624921848,0,0.250317306,0.124760846,11,0,0,5,7,1,4,1,10,0,7,5,2,0,0,2,0,8,2,2,0,2,0,0,0,0,0,0,0,0
110,DNA,RNA,nonDRNA,6.04E-06,3.02E-10,0.731098177,0.26889578,0.875046927,0,0,0.124953073,20,0,1,10,24,11,16,9,25,0,15,37,8,12,0,18,14,18,19,15,0,18,1,0,13,0,1,0,13,0
111,DNA,RNA,nonDRNA,5.12E-08,6.34E-12,0.987685687,0.012314262,0.749681187,0,0,0.250318813,5,0,1,7,14,2,7,3,5,0,15,30,6,4,0,4,9,5,9,11,0,3,1,0,6,0,1,0,6,0
112,DNA,RNA,DNA,4.08E-07,1.30E-10,0.523990966,0.476008626,0.374902171,0,0.249874614,0.375223215,31,0,6,22,23,8,9,10,28,0,26,28,8,23,0,22,30,24,38,17,0,17,2,0,4,0,2,0,4,0
113,DNA,RNA,nonDRNA,1.77E-07,4.39E-11,0.843154908,0.156844915,0.627836643,0,0,0.372163357,33,0,7,9,14,8,26,5,6,0,16,19,4,8,0,33,13,16,22,14,0,12,4,0,15,0,4,0,15,0
114,DNA,DRNA,nonDRNA,3.53E-04,0.999644277,3.92E-12,2.62E-06,1,0,0,0,64,0,23,55,82,33,56,26,53,0,58,142,23,38,0,51,39,73,93,48,0,71,10,0,24,0,10,0,24,0
115,DNA,DRNA,nonDRNA,9.53E-08,0.999999905,2.27E-21,1.35E-10,1,0,0,0,74,0,20,55,86,36,66,47,45,0,107,111,19,46,0,97,58,54,130,48,0,49,6,0,34,0,6,0,34,0
