seq,class,predicted class na夫e,predicted class knn,nondrna na夫e,rna na夫e,drna na夫e,dna na夫e,nondrna knn,rna knn,drna knn,dna knn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
11,DNA,RNA,nonDRNA,3.80E-08,0.991893466,3.65E-12,0.008106496,1,0,0,0,18,0,1,4,7,4,7,2,7,0,13,12,3,1,0,6,8,18,6,10,0,6,0,0,3,0
12,DNA,RNA,nonDRNA,3.78E-08,0.992434834,3.64E-12,0.007565128,1,0,0,0,18,0,1,4,7,4,8,2,8,0,13,12,2,1,0,6,8,18,6,10,0,5,0,0,3,0
13,DNA,DNA,nonDRNA,1.89E-06,0.219557367,6.82E-09,0.780440734,0.801917836,0.198082164,0,0,25,0,8,31,35,11,54,30,20,0,32,20,8,8,0,23,15,14,23,24,0,25,2,0,6,0
14,DNA,DNA,nonDRNA,4.31E-07,0.407873825,2.58E-10,0.592125744,0.598876036,0,0,0.401123964,31,0,12,22,26,16,25,6,16,0,18,37,6,17,0,23,13,21,25,22,0,19,6,0,9,0
15,DNA,RNA,nonDRNA,5.52E-08,0.985257083,8.65E-12,0.014742862,0.801271576,0.198728424,0,0,22,0,4,9,20,3,5,2,11,0,10,16,3,9,0,4,18,8,17,5,0,8,1,0,1,0
16,DNA,DNA,RNA,3.00E-06,0.045245169,4.71E-08,0.954751787,0.379909852,0.402417336,0.217672812,0,22,0,11,27,37,25,23,16,13,0,22,27,19,19,0,54,30,29,39,15,0,20,4,0,25,0
17,DNA,RNA,DNA,2.74E-07,0.809460939,1.76E-10,0.190538787,0.203657129,0,0,0.796342871,16,0,3,23,20,12,12,6,26,0,36,23,9,17,0,8,4,11,24,11,0,19,6,0,19,0
18,DNA,RNA,nonDRNA,1.50E-07,0.82293044,4.04E-11,0.17706941,0.798488213,0,0,0.201511787,22,0,3,18,16,14,20,7,16,0,10,31,8,5,0,17,18,23,12,19,0,12,4,0,14,0
19,DNA,DNA,nonDRNA,9.06E-07,0.181852153,2.22E-09,0.818146938,0.801868901,0,0,0.198131099,21,0,2,18,22,16,17,5,23,0,32,47,7,21,0,52,17,9,60,29,0,21,4,0,8,0
20,DNA,RNA,nonDRNA,4.60E-07,0.605733412,6.61E-10,0.394266128,0.601667228,0.200968066,0,0.197364706,35,0,5,16,30,7,29,9,21,0,23,25,18,18,0,22,28,21,32,13,0,9,1,0,14,0
21,DNA,RNA,nonDRNA,4.99E-08,0.987457705,7.00E-12,0.012542245,0.789785615,0.210214385,0,0,7,0,0,7,12,5,6,3,7,0,10,17,6,7,0,1,13,7,9,12,0,4,0,0,6,0
22,DNA,RNA,RNA,4.39E-08,0.993281892,4.01E-12,0.006718064,0.393314534,0.606685466,0,0,16,0,0,3,9,2,5,3,6,0,8,14,5,3,0,4,5,5,16,3,0,8,0,0,3,0
23,DNA,RNA,nonDRNA,7.84E-08,0.974272471,9.78E-12,0.025727451,0.802335175,0.197664825,0,0,18,0,9,8,16,5,6,9,5,0,9,19,5,3,0,7,11,10,6,9,0,13,0,0,3,0
24,DNA,DNA,nonDRNA,1.27E-06,0.091455272,4.07E-09,0.908543452,0.801678877,0,0,0.198321123,22,0,12,28,26,17,24,13,12,0,23,36,9,23,0,42,24,22,42,17,0,16,10,0,18,0
25,DNA,RNA,nonDRNA,5.12E-08,0.987685687,6.34E-12,0.012314262,0.594785134,0,0,0.405214866,5,0,1,7,14,2,7,3,5,0,15,30,6,4,0,4,9,5,9,11,0,3,1,0,6,0
26,DNA,RNA,nonDRNA,1.77E-07,0.843154908,4.39E-11,0.156844915,0.791729099,0,0,0.208270901,33,0,7,9,14,8,26,5,6,0,16,19,4,8,0,33,13,16,22,14,0,12,4,0,15,0
27.00,DNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,0.611468375,0,0,0.388531625,74.00,0.00,20.00,55.00,86.00,36.00,66.00,47.00,45.00,0.00,107.00,111.00,19.00,46.00,0.00,97.00,58.00,54.00,130.00,48.00,0.00,49.00,6.00,0.00,34.00,0.00
28,DNA,DNA,nonDRNA,5.57E-07,0.268964623,1.12E-09,0.731034818,1,0,0,0,31,0,7,20,27,21,26,13,24,0,28,27,13,17,0,28,23,22,36,19,0,25,5,0,14,0
29,DNA,RNA,nonDRNA,6.66E-07,0.547665509,7.09E-10,0.452333824,1,0,0,0,49,0,4,15,21,10,42,14,8,0,15,27,6,9,0,54,16,21,19,9,0,11,0,0,8,0
30,DNA,RNA,DNA,2.47E-07,0.791172494,2.54E-10,0.208827258,0.395079437,0,0,0.604920563,24,0,2,13,25,19,14,5,21,0,45,30,10,16,0,12,19,15,17,24,0,27,0,0,5,0
31.00,DNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,0.6026612,0,0,0.3973388,47.00,0.00,27.00,34.00,55.00,34.00,65.00,20.00,42.00,0.00,52.00,73.00,25.00,52.00,0.00,75.00,48.00,37.00,149.00,49.00,0.00,63.00,6.00,0.00,31.00,0.00
32,DNA,DNA,nonDRNA,2.65E-06,0.028704068,1.50E-08,0.971293266,1,0,0,0,26,0,12,13,12,10,36,31,7,0,21,35,12,17,0,48,12,22,61,32,0,17,5,0,14,0
33,DNA,DNA,nonDRNA,7.67E-06,0.044145396,2.00E-07,0.955846739,1,0,0,0,18,0,8,29,33,25,23,16,36,0,36,60,8,27,0,27,36,26,50,35,0,31,12,0,19,0
34,DNA,RNA,nonDRNA,5.78E-08,0.9705949,1.06E-11,0.029405042,0.60346339,0.198454393,0,0.198082218,14,0,1,12,14,7,12,6,11,0,20,26,7,8,0,2,12,8,4,8,0,15,1,0,7,0
35,DNA,DNA,nonDRNA,2.14E-06,0.043380666,2.47E-08,0.956617168,0.39892246,0.394595139,0,0.2064824,25,0,3,22,22,10,34,8,17,0,21,40,19,29,0,58,35,24,67,34,0,26,2,0,11,0
36,DNA,RNA,nonDRNA,1.87E-07,0.78717163,7.09E-11,0.212828183,1,0,0,0,26,0,1,18,20,5,12,13,11,0,20,22,5,19,0,23,10,18,40,22,0,21,2,0,4,0
37,DNA,RNA,nonDRNA,2.29E-07,0.779689758,5.87E-11,0.220310013,0.800528994,0,0,0.199471006,30,0,7,11,14,7,21,8,9,0,9,45,3,7,0,33,16,18,29,26,0,12,3,0,6,0
38,DNA,RNA,nonDRNA,7.30E-08,0.955488787,1.30E-11,0.04451114,1,0,0,0,15,0,3,11,14,13,15,9,13,0,11,12,2,10,0,10,4,16,18,10,0,12,4,0,12,0
39,DNA,RNA,nonDRNA,1.55E-07,0.926065123,5.41E-11,0.073934723,0.799368425,0.200631575,0,0,15,0,0,11,20,13,6,10,26,0,21,24,5,10,0,12,16,8,9,8,0,8,8,0,7,0
40,DNA,RNA,nonDRNA,7.08E-08,0.964680565,1.76E-11,0.035319364,1,0,0,0,12,0,1,11,12,11,9,6,17,0,21,9,3,11,0,10,12,9,17,10,0,9,1,0,15,0
41,DNA,RNA,nonDRNA,7.87E-08,0.947319633,1.79E-11,0.052680289,0.596208619,0.198296084,0,0.205495297,8,0,0,19,13,10,9,5,20,0,18,17,5,15,0,10,7,11,12,18,0,15,2,0,9,0
42,DNA,RNA,nonDRNA,7.03E-08,0.974633207,1.32E-11,0.025366723,0.598389174,0,0,0.401610826,7,0,8,13,12,7,15,4,16,0,23,12,3,14,0,6,2,10,9,10,0,13,2,0,4,0
43,DNA,DNA,nonDRNA,5.51E-07,0.407880993,6.91E-10,0.592118455,0.801012713,0,0,0.198987287,32,0,5,19,33,18,26,19,28,0,19,45,5,15,0,16,12,24,26,18,0,26,5,0,13,0
44,DNA,DNA,nonDRNA,5.18E-07,0.403251768,3.44E-10,0.596747714,0.791382907,0,0,0.208617093,36,0,8,20,31,15,19,5,8,0,14,34,8,10,0,34,10,19,56,25,0,18,2,0,8,0
45,DNA,DNA,nonDRNA,6.38E-05,3.44E-04,5.62E-05,0.999536046,0.801772527,0,0,0.198227473,29,0,16,35,37,23,30,19,38,0,25,46,24,29,0,60,51,38,71,51,0,29,6,0,23,0
46,DNA,RNA,nonDRNA,1.23E-07,0.919893037,3.94E-11,0.08010684,0.59829708,0,0,0.40170292,11,0,0,18,16,12,15,7,16,0,19,24,6,21,0,4,11,15,13,9,0,18,7,0,5,0
47,DNA,RNA,nonDRNA,1.17E-07,0.889179743,3.16E-11,0.11082014,0.804512326,0,0,0.195487674,29,0,3,15,19,9,16,7,22,0,10,32,3,22,0,10,10,20,20,14,0,15,2,0,8,0
48.00,DNA,DRNA,DNA,0.00,0.00,1.00,0.00,0,0.171137771,0,0.828862229,65.00,0.00,7.00,47.00,58.00,32.00,51.00,29.00,72.00,0.00,98.00,125.00,17.00,56.00,0.00,88.00,68.00,37.00,68.00,81.00,0.00,74.00,22.00,0.00,48.00,0.00
49,DNA,DNA,DNA,7.65E-06,2.56E-04,2.85E-07,0.99973582,0,0,0,1,44,0,22,33,24,33,48,9,16,0,27,65,6,9,0,60,26,30,69,35,0,23,4,0,14,0
50,DNA,RNA,DNA,3.88E-08,0.993077126,4.30E-12,0.006922835,0,0,0,1,12,0,0,3,7,2,7,3,7,0,21,6,3,3,0,6,3,7,14,9,0,8,0,0,5,0
51,DNA,RNA,nonDRNA,3.86E-08,0.993087347,4.23E-12,0.006912615,0.598247006,0,0,0.401752994,12,0,0,3,7,2,7,3,8,0,20,6,3,3,0,6,3,8,15,8,0,7,0,0,5,0
52,DNA,RNA,nonDRNA,2.45E-07,0.725429099,1.11E-10,0.274570656,0.594849477,0.202456103,0,0.20269442,34,0,2,12,27,17,22,3,13,0,6,33,8,17,0,20,15,31,21,16,0,27,5,0,10,0
53.00,DNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,0.801395752,0,0,0.198604248,69.00,0.00,33.00,55.00,63.00,34.00,66.00,36.00,22.00,0.00,90.00,77.00,22.00,46.00,0.00,90.00,47.00,48.00,104.00,62.00,0.00,54.00,3.00,0.00,27.00,0.00
54,DNA,DNA,DNA,1.30E-05,0.004579962,1.59E-06,0.995405469,0.390534405,0.208607744,0,0.400857851,67,0,12,40,44,22,37,17,36,0,38,62,8,18,0,40,33,51,31,28,0,45,8,0,16,0
55,DNA,RNA,RNA,6.52E-08,0.972688371,6.70E-12,0.027311563,0.197497691,0.60079741,0,0.2017049,14,0,0,18,13,3,5,8,10,0,7,28,4,4,0,8,4,11,12,10,0,9,3,0,6,0
56,DNA,RNA,nonDRNA,5.11E-08,0.985462748,7.78E-12,0.014537201,0.800301042,0.199698958,0,0,14,0,0,15,14,3,4,6,6,0,11,11,3,7,0,5,13,14,22,5,0,3,0,0,4,0
57,DNA,RNA,nonDRNA,3.70E-08,0.99542155,4.58E-12,0.004578413,1,0,0,0,3,0,1,5,7,7,6,2,7,0,13,9,1,9,0,3,2,10,7,3,0,9,1,0,3,0
58,DNA,DNA,nonDRNA,7.21E-06,0.027702885,1.66E-07,0.972289741,1,0,0,0,59,0,0,45,28,14,63,11,23,0,47,25,8,37,0,34,22,30,53,24,0,46,7,0,6,0
59,DNA,DNA,nonDRNA,1.52E-05,0.001579068,1.26E-06,0.998404505,0.804350369,0.195649631,0,0,32,0,17,44,39,28,33,12,42,0,67,62,10,27,0,20,23,24,59,32,0,34,8,0,19,0
60,DNA,RNA,nonDRNA,8.91E-08,0.935021802,3.23E-11,0.064978109,0.801660828,0,0,0.198339172,19,0,3,14,17,12,12,2,19,0,32,28,9,13,0,5,9,7,21,14,0,15,0,0,7,0
61,DNA,DNA,nonDRNA,8.79E-07,0.23489833,2.51E-09,0.765100789,0.59904301,0.203320896,0,0.197636095,50,0,3,24,31,21,23,9,23,0,23,48,8,29,0,21,23,36,24,25,0,30,5,0,11,0
62,DNA,RNA,nonDRNA,9.44E-08,0.906854452,1.91E-11,0.093145453,0.801361586,0,0,0.198638414,25,0,3,15,19,11,20,3,7,0,17,18,5,8,0,16,4,20,35,12,0,20,4,0,6,0
63,DNA,RNA,DNA,4.93E-08,0.988117334,5.93E-12,0.011882617,0,0,0,1,3,0,0,4,11,5,5,6,7,0,9,12,5,7,0,5,6,10,13,8,0,2,2,0,7,0
64,DNA,RNA,RNA,7.53E-08,0.962220927,1.52E-11,0.037778998,0.399516337,0.400391932,0,0.200091731,24,0,3,7,27,6,25,3,8,0,12,8,7,9,0,13,16,7,21,6,0,9,1,0,7,0
65,DNA,DNA,nonDRNA,3.33E-06,0.159987402,2.70E-08,0.840009239,1,0,0,0,44,0,1,33,22,22,16,13,23,0,52,44,2,25,0,9,27,21,46,33,0,35,3,0,24,0
66,DNA,DNA,nonDRNA,9.42E-07,0.014716157,3.85E-09,0.985282898,1,0,0,0,27,0,19,29,36,19,24,17,23,0,37,43,13,12,0,21,19,26,28,25,0,26,6,0,11,0
67,DNA,RNA,nonDRNA,4.59E-07,0.658109711,3.06E-10,0.341889831,0.801849258,0.198150742,0,0,31,0,5,22,37,16,22,5,8,0,18,35,6,5,0,25,13,31,13,15,0,38,8,0,13,0
68,DNA,DNA,nonDRNA,1.42E-06,0.035097357,8.22E-09,0.964901213,0.801656562,0,0,0.198343438,22,0,12,17,25,20,22,21,16,0,25,36,12,26,0,48,21,18,52,19,0,31,8,0,14,0
69,DNA,RNA,nonDRNA,4.38E-08,0.996095335,3.91E-12,0.003904621,0.41007307,0.197622832,0,0.392304097,6,0,4,7,8,6,9,1,1,0,9,10,2,1,0,2,3,5,3,3,0,6,2,0,1,0
70,DNA,RNA,nonDRNA,4.12E-08,0.991804811,4.75E-12,0.008195148,0.606021743,0.19939695,0,0.194581308,10,0,3,8,10,5,7,0,8,0,14,18,2,6,0,3,6,7,6,10,0,4,1,0,7,0
71,DNA,RNA,nonDRNA,4.80E-08,0.987949402,4.60E-12,0.01205055,0.799727107,0,0,0.200272893,10,0,2,6,9,2,8,5,9,0,10,16,5,4,0,6,9,6,5,5,0,12,3,0,8,0
72,DNA,RNA,nonDRNA,8.69E-08,0.932673953,1.56E-11,0.06732596,0.795691751,0.204308249,0,0,22,0,1,9,18,10,18,9,18,0,7,26,3,13,0,10,9,18,12,14,0,10,4,0,8,0
73,DNA,RNA,nonDRNA,4.36E-08,0.989020781,6.41E-12,0.010979175,0.597443622,0.402556378,0,0,8,0,0,9,12,3,4,3,15,0,19,16,4,7,0,1,7,8,13,8,0,10,0,0,4,0
74,DNA,RNA,nonDRNA,4.47E-08,0.989024214,4.38E-12,0.010975741,0.805397148,0.194602852,0,0,10,0,1,13,15,4,8,7,10,0,5,9,3,1,0,5,4,17,10,6,0,11,0,0,4,0
75,DNA,DNA,RNA,0.001102645,1.79E-06,0.012967681,0.985927886,0.405390399,0.594609601,0,0,45,0,27,56,61,21,61,15,21,0,51,55,16,32,0,40,33,68,59,36,0,55,14,0,27,0
76,DNA,RNA,DNA,1.64E-07,0.829380829,6.46E-11,0.170619007,0,0.40101955,0,0.59898045,9,0,1,22,16,11,22,3,23,0,18,31,9,17,0,21,14,16,19,14,0,16,3,0,14,0
77,DNA,RNA,DNA,2.23E-07,0.846232025,6.04E-11,0.153767752,0,0.20073408,0,0.79926592,31,0,1,9,10,7,26,4,4,0,14,17,4,4,0,49,13,14,19,12,0,11,4,0,12,0
78,DNA,DNA,DNA,1.59E-04,7.09E-06,2.05E-04,0.999628646,0.195907274,0,0,0.804092726,39,0,23,34,61,39,34,18,36,0,59,62,9,35,0,52,26,32,90,41,0,19,8,0,22,0
79,RNA,RNA,nonDRNA,9.12E-08,0.935089969,2.44E-11,0.064909939,0.797574988,0.202425012,0,0,19,0,3,10,16,11,8,7,7,0,25,35,4,8,0,12,12,26,15,9,0,12,7,0,4,0
80,RNA,RNA,nonDRNA,5.08E-08,0.975070648,6.64E-12,0.024929301,0.602003999,0.203159873,0,0.194836128,20,0,4,4,1,7,6,5,5,0,19,22,3,7,0,9,5,20,16,12,0,12,4,0,7,0
81,RNA,RNA,DNA,4.29E-07,0.778092386,3.37E-10,0.221907185,0.198883048,0.400010238,0,0.401106714,24,0,5,16,19,18,24,8,22,0,26,24,4,21,0,12,15,12,32,20,0,21,11,0,9,0
82,RNA,RNA,RNA,4.37E-08,0.987530169,5.39E-12,0.012469788,0.200187399,0.799812601,0,0,5,0,0,4,10,5,10,5,7,0,16,14,8,2,0,8,7,15,8,6,0,9,0,0,6,0
83,RNA,RNA,RNA,4.85E-08,0.994690071,3.63E-12,0.00530988,0.198588154,0.801411846,0,0,7,0,0,2,1,2,10,4,2,0,6,10,3,2,0,6,6,13,6,4,0,6,4,0,1,0
84,RNA,RNA,RNA,3.68E-08,0.995150077,4.31E-12,0.004849886,0.393871685,0.408661158,0,0.197467157,13,0,1,2,8,2,2,0,5,0,22,13,1,1,0,4,11,11,6,6,0,8,0,0,4,0
85,RNA,RNA,RNA,4.04E-08,0.996949822,3.36E-12,0.003050138,0.384909636,0.615090364,0,0,11,0,0,3,3,4,14,3,2,0,6,4,1,3,0,4,3,10,4,3,0,10,0,0,0,0
86,RNA,RNA,nonDRNA,4.11E-08,0.996562128,4.21E-12,0.003437831,0.602159416,0.198548934,0,0.19929165,9,0,0,4,3,5,15,2,4,0,12,4,2,4,0,1,3,5,5,3,0,9,0,0,1,0
87,RNA,RNA,nonDRNA,5.36E-08,0.979661067,9.89E-12,0.02033888,0.796131731,0.203868269,0,0,32,0,0,6,14,8,8,4,10,0,20,11,1,9,0,9,9,26,6,8,0,14,1,0,3,0
88,RNA,RNA,RNA,4.33E-08,0.997818215,3.88E-12,0.002181742,0.198714793,0.801285207,0,0,4,0,0,2,3,2,3,1,2,0,10,2,2,2,0,2,1,4,2,5,0,5,0,0,3,0
89,RNA,RNA,RNA,8.33E-07,0.51550519,1.43E-09,0.484493976,0,1,0,0,12,0,6,25,31,14,14,1,28,0,41,37,6,27,0,15,14,18,26,27,0,21,6,0,22,0
90,RNA,RNA,RNA,4.25E-08,0.989494911,4.00E-12,0.010505047,0,1,0,0,19,0,1,1,6,4,14,6,2,0,13,16,3,5,0,9,3,8,7,8,0,16,1,0,6,0
91,RNA,RNA,DNA,4.89E-08,0.98654023,5.19E-12,0.013459721,0.198034661,0.204355811,0,0.597609528,33,0,1,6,15,6,9,1,5,0,12,15,6,3,0,5,3,12,6,9,0,15,0,0,3,0
92,RNA,RNA,nonDRNA,4.30E-08,0.988333031,5.92E-12,0.011666926,0.603995895,0.396004105,0,0,13,0,1,4,0,5,6,3,7,0,21,14,3,7,0,6,5,11,27,12,0,11,0,0,3,0
93,RNA,RNA,nonDRNA,3.78E-08,0.990948151,3.67E-12,0.009051811,0.801685239,0,0,0.198314761,15,0,3,7,9,4,17,3,8,0,12,9,4,3,0,7,5,15,9,10,0,10,0,0,1,0
94,RNA,RNA,RNA,4.14E-08,0.995388355,4.01E-12,0.004611604,0.196266196,0.803733804,0,0,8,0,0,2,5,2,9,0,7,0,12,13,2,4,0,2,4,3,10,7,0,9,0,0,6,0
95,RNA,RNA,RNA,4.13E-08,0.996187389,4.28E-12,0.00381257,0,1,0,0,18,0,0,1,5,0,6,2,5,0,19,14,3,3,0,2,5,12,8,2,0,1,0,0,0,0
96,RNA,RNA,RNA,4.18E-08,0.995387881,3.50E-12,0.004612078,0.202693728,0.797306272,0,0,8,0,2,7,6,2,1,2,2,0,8,8,5,0,0,1,5,6,6,4,0,8,1,0,4,0
97,RNA,RNA,nonDRNA,9.61E-08,0.921169869,2.65E-11,0.078830035,0.604086077,0.196466292,0,0.199447631,16,0,4,16,9,12,22,8,25,0,28,20,6,10,0,14,3,21,9,18,0,15,2,0,5,0
98,RNA,RNA,nonDRNA,4.17E-08,0.98900715,3.82E-12,0.010992808,0.801784113,0.198215887,0,0,15,0,1,1,6,3,14,7,5,0,13,13,3,4,0,8,2,10,9,11,0,16,1,0,6,0
99,RNA,RNA,nonDRNA,4.12E-08,0.994419215,3.41E-12,0.005580744,1,0,0,0,23,0,0,6,2,2,9,2,5,0,10,8,1,1,0,0,3,13,9,10,0,6,0,0,4,0
100.00,RNA,DRNA,RNA,0.00,0.00,1.00,0.00,0,0.804560606,0,0.195439394,53.00,0.00,7.00,64.00,77.00,46.00,204.00,53.00,33.00,0.00,51.00,70.00,53.00,43.00,0.00,195.00,107.00,105.00,67.00,38.00,0.00,36.00,22.00,0.00,12.00,0.00
101,RNA,DNA,RNA,2.86E-04,2.48E-04,0.015631484,0.983834491,0.398146338,0.601853662,0,0,38,0,4,21,30,8,62,14,20,0,27,36,34,28,0,133,38,31,39,39,0,21,7,0,9,0
102,RNA,RNA,nonDRNA,5.54E-08,0.97491888,1.12E-11,0.025081065,1,0,0,0,21,0,1,7,8,11,6,3,15,0,22,12,5,13,0,11,7,7,20,15,0,10,0,0,4,0
103,RNA,RNA,nonDRNA,5.26E-08,0.986501432,5.96E-12,0.013498515,0.801463198,0.198536802,0,0,5,0,5,7,10,3,4,10,5,0,11,11,4,7,0,13,3,9,6,9,0,11,2,0,7,0
104,RNA,RNA,nonDRNA,9.77E-08,0.920282085,3.63E-11,0.079717817,0.804554251,0,0,0.195445749,13,0,4,17,15,10,20,5,12,0,38,18,11,10,0,7,12,14,11,17,0,23,2,0,5,0
105,RNA,RNA,RNA,1.10E-07,0.910957953,2.81E-11,0.089041937,0.195664824,0.804335176,0,0,26,0,1,10,11,7,32,8,16,0,25,16,3,7,0,21,8,31,10,11,0,22,4,0,7,0
106,RNA,DNA,nonDRNA,1.60E-04,0.016456797,9.34E-05,0.983289267,0.599273653,0.198874147,0,0.2018522,50,0,1,40,66,22,59,16,56,0,41,49,20,12,0,38,24,42,22,44,0,64,3,0,22,0
107,RNA,RNA,RNA,4.40E-08,0.997678583,3.45E-12,0.002321373,0.195210463,0.804789537,0,0,5,0,0,3,1,0,4,4,2,0,6,3,2,1,0,1,2,7,5,5,0,4,0,0,2,0
108,RNA,RNA,nonDRNA,3.76E-08,0.995951064,3.47E-12,0.004048898,0.603400911,0.197567511,0,0.199031578,8,0,1,2,7,0,5,1,8,0,11,9,1,6,0,7,7,13,8,4,0,5,2,0,2,0
109,RNA,DNA,nonDRNA,2.70E-06,0.085499462,2.45E-08,0.914497811,1,0,0,0,52,0,3,25,17,24,38,15,29,0,33,53,12,37,0,28,29,18,47,23,0,38,0,0,10,0
110,RNA,DNA,RNA,1.87E-06,0.351319528,5.20E-09,0.648678593,0,1,0,0,26,0,5,32,25,14,28,16,22,0,32,37,9,17,0,16,14,23,40,34,0,38,12,0,11,0
111,RNA,RNA,nonDRNA,7.96E-08,0.951779193,2.43E-11,0.048220728,1,0,0,0,16,0,0,10,12,14,14,4,13,0,25,14,10,16,0,14,12,9,10,16,0,9,0,0,7,0
112,RNA,RNA,RNA,1.65E-06,0.709050133,4.15E-09,0.290948214,0.396331385,0.408057978,0,0.195610636,11,0,1,17,22,19,86,7,9,0,19,10,7,19,0,15,10,25,25,12,0,16,1,0,22,0
113,RNA,RNA,nonDRNA,4.97E-08,0.996308283,4.44E-12,0.003691667,1,0,0,0,2,0,7,2,3,2,6,3,2,0,9,3,1,1,0,10,8,8,7,6,0,3,1,0,2,0
114,RNA,DNA,nonDRNA,1.21E-04,3.17E-04,1.74E-04,0.999387925,0.404521978,0.196864808,0,0.398613215,50,0,14,51,62,28,52,31,29,0,62,85,11,31,0,24,27,38,45,29,0,47,7,0,18,0
115.00,RNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,1,0,0,0,68.00,0.00,19.00,48.00,49.00,55.00,59.00,19.00,68.00,0.00,59.00,86.00,31.00,55.00,0.00,45.00,44.00,40.00,94.00,66.00,0.00,73.00,18.00,0.00,22.00,0.00
116,RNA,RNA,nonDRNA,6.85E-08,0.95411017,1.18E-11,0.045889762,1,0,0,0,24,0,0,9,16,5,19,4,18,0,23,13,5,7,0,10,9,21,9,11,0,22,4,0,4,0
117.00,RNA,DRNA,DNA,0.00,0.00,1.00,0.00,0.198876688,0.398708314,0,0.402414997,167.00,0.00,41.00,116.00,111.00,91.00,154.00,50.00,129.00,0.00,111.00,185.00,50.00,100.00,0.00,124.00,85.00,96.00,166.00,149.00,0.00,150.00,31.00,0.00,87.00,0.00
118,RNA,RNA,RNA,6.16E-08,0.973957188,9.64E-12,0.02604275,0.19333256,0.80666744,0,0,19,0,0,9,12,8,26,3,8,0,19,11,4,8,0,6,8,12,9,16,0,28,2,0,1,0
119,RNA,RNA,nonDRNA,6.33E-08,0.969519696,9.37E-12,0.03048024,0.780302251,0.219697749,0,0,23,0,1,6,9,5,31,4,13,0,21,8,7,7,0,11,8,15,7,11,0,18,3,0,3,0
120,RNA,RNA,RNA,4.10E-06,0.507708903,1.47E-08,0.492286983,0.202730818,0.596043021,0,0.201226161,36,0,5,6,20,22,45,5,64,0,22,49,15,7,0,20,11,12,21,19,0,34,5,0,18,0
121,RNA,RNA,RNA,7.39E-08,0.958552458,2.21E-11,0.041447468,0.400081049,0.599918951,0,0,23,0,1,12,10,9,18,3,13,0,26,18,2,8,0,8,9,37,14,9,0,23,0,0,6,0
122,RNA,RNA,nonDRNA,4.14E-08,0.997679882,4.00E-12,0.002320076,0.402730303,0.397314784,0,0.199954913,4,0,0,1,9,1,1,1,3,0,9,12,2,3,0,1,6,10,4,1,0,4,0,0,0,0
