Feature,[G7.1.1.1],[G7.1.1.2],[G7.1.1.3],[G7.1.1.4],[G7.1.1.5],[G7.1.1.6],[G7.1.1.7],[G7.1.1.8],[G7.1.1.9],[G7.1.1.10],[G7.1.1.11],[G7.1.1.12],[G7.1.1.13],[G7.1.1.14],[G7.1.1.15],[G7.1.1.16],[G7.1.1.17],[G7.1.1.18],[G7.1.1.19],[G7.1.1.20],[G7.1.1.21],[G7.1.1.22],[G7.1.1.23],[G7.1.1.24],[G7.1.1.25],[G7.1.1.26],[G7.1.1.27],[G7.1.1.28],[G7.1.1.29],[G7.1.1.30],[G7.1.1.31],[G7.1.1.32],[G7.1.1.33],[G7.1.1.34],[G7.1.1.35],[G7.1.1.36],[G7.1.1.37],[G7.1.1.38],[G7.1.1.39],[G7.1.1.40],[G7.1.1.41],[G7.1.1.42],[G7.1.1.43],[G7.1.1.44],[G7.1.1.45],[G7.1.1.46],[G7.1.1.47],[G7.1.1.48],[G7.1.1.49],[G7.1.1.50],[G7.1.1.51],[G7.1.1.52],[G7.1.1.53],[G7.1.1.54],[G7.1.1.55],[G7.1.1.56],[G7.1.1.57],[G7.1.1.58],[G7.1.1.59],[G7.1.1.60],[G7.1.1.61],[G7.1.1.62],[G7.1.1.63],[G7.1.1.64],[G7.1.1.65],[G7.1.1.66],[G7.1.1.67],[G7.1.1.68],[G7.1.1.69],[G7.1.1.70],[G7.1.1.71],[G7.1.1.72],[G7.1.1.73],[G7.1.1.74],[G7.1.1.75],[G7.1.1.76],[G7.1.1.77],[G7.1.1.78],[G7.1.1.79],[G7.1.1.80]
seq6010,0.057469,0.034481,0.034481,0.068963,0.103444,0.011494,0.068963,0.057469,0.000000,0.022988,0.045975,0.068963,0.068963,0.011494,0.080457,0.034481,0.022988,0.011494,0.057469,0.057469,-0.001022,-0.001641,0.000055,0.000110,0.006837,-0.002495,-0.002752,0.004545,-0.002597,-0.002861,0.008616,0.002528,-0.001079,0.000099,0.008226,0.007418,0.001034,-0.000352,0.005028,0.002508,0.006417,-0.003010,-0.012721,-0.006112,-0.007586,-0.006619,0.007107,0.003032,-0.012849,-0.004698,0.011867,0.007390,0.003631,0.000931,-0.009212,-0.005918,0.004320,-0.001812,0.008644,0.003651,0.002925,-0.002343,0.004400,0.001714,-0.004464,-0.000259,0.009135,0.010586,0.009813,0.006598,-0.002010,-0.011423,0.024223,0.013496,0.002429,0.000040,-0.004984,0.000314,0.004755,-0.003108
seq6011,0.087906,0.012558,0.062790,0.037674,0.000000,0.025116,0.113022,0.087906,0.000000,0.125580,0.087906,0.062790,0.025116,0.037674,0.062790,0.025116,0.037674,0.000000,0.062790,0.050232,-0.005514,0.004976,-0.000782,0.000579,0.000564,0.005356,-0.005214,-0.004419,-0.001408,-0.002863,-0.007848,-0.007712,-0.002140,0.002079,-0.000923,-0.000461,-0.000428,0.005970,-0.004506,0.007371,0.008899,0.006804,0.005766,0.005432,0.002620,-0.000540,0.004223,-0.001985,-0.006675,-0.005801,-0.001638,-0.009033,-0.000274,-0.007914,-0.004788,-0.003534,-0.005267,0.001629,-0.002408,0.002183,-0.009833,-0.000243,0.007325,0.008096,0.004052,0.009565,0.001813,-0.000199,-0.006803,-0.005152,0.005734,-0.004601,-0.001321,-0.004116,-0.009267,-0.005464,0.005937,0.003854,0.011499,0.014115
seq6012,0.151581,0.075791,0.012632,0.037895,0.000000,0.037895,0.063159,0.088422,0.012632,0.088422,0.050527,0.012632,0.037895,0.037895,0.075791,0.063159,0.063159,0.037895,0.037895,0.025264,-0.001185,-0.000649,-0.004345,0.004378,-0.005349,-0.002611,-0.001890,-0.005399,0.005468,0.003960,-0.006392,-0.005641,-0.001821,-0.005040,-0.004246,-0.002235,0.011740,0.010138,0.003719,0.002332,-0.014144,-0.004184,-0.003795,-0.003388,-0.003174,0.000106,0.008564,0.011697,0.004469,0.012972,-0.001529,-0.003269,0.000822,0.005537,-0.006775,-0.008213,0.006329,0.010534,0.000860,0.002613,-0.000908,-0.010493,-0.002956,-0.003553,0.003058,-0.006776,-0.000988,-0.005786,0.001365,-0.004254,-0.003820,-0.010934,-0.013996,-0.009944,0.001465,0.006476,0.007644,0.011992,0.012680,0.008224
seq6013,0.036158,0.072316,0.084368,0.012053,0.012053,0.024105,0.072316,0.024105,0.036158,0.072316,0.072316,0.096421,0.048211,0.060263,0.060263,0.072316,0.012053,0.000000,0.024105,0.072316,-0.001320,-0.001714,0.004998,0.001387,-0.006431,-0.008387,0.000239,-0.007250,-0.005048,-0.002552,0.006965,0.005968,0.004373,0.001581,0.004678,0.009920,-0.007265,-0.010120,0.010293,0.009359,0.008229,0.006755,0.008093,0.007550,0.003652,0.001815,0.008901,0.005452,-0.007327,-0.003948,0.003241,0.000622,-0.002860,-0.010944,0.000249,-0.002117,-0.005177,-0.004528,0.008124,0.009532,0.000535,0.005209,0.002599,-0.003347,0.002675,-0.002135,0.009179,0.009106,-0.003221,-0.011159,0.001782,-0.000741,-0.002241,-0.004052,0.004324,0.001736,-0.006761,-0.009656,0.003018,-0.006051
seq6014,0.000000,0.068645,0.054916,0.082375,0.054916,0.027458,0.027458,0.082375,0.054916,0.068645,0.137291,0.054916,0.054916,0.068645,0.041187,0.109833,0.027458,0.027458,0.013729,0.041187,-0.004691,-0.003494,-0.010902,-0.013630,0.005643,0.006445,-0.004486,-0.003213,0.002563,0.010574,0.005970,0.003185,-0.003152,-0.003295,0.003867,0.004969,-0.003928,-0.005689,-0.006821,-0.003524,-0.003085,-0.003461,-0.004474,-0.006560,0.013934,0.009978,0.002678,-0.004910,-0.017870,-0.008789,0.008673,-0.003504,-0.005801,-0.008128,0.000381,0.000911,0.005488,-0.003462,-0.002989,-0.004827,0.000818,0.008017,0.003608,0.001823,-0.013056,-0.020826,0.000013,0.003303,0.002229,0.007859,-0.001808,-0.004489,0.011057,0.008995,-0.012656,-0.008436,-0.017324,-0.018205,0.007929,0.002247
seq6015,0.127961,0.076777,0.025592,0.025592,0.000000,0.038388,0.025592,0.089573,0.038388,0.012796,0.217535,0.076777,0.012796,0.025592,0.051185,0.076777,0.051185,0.000000,0.025592,0.025592,-0.001703,0.000144,-0.011189,-0.013744,-0.006878,-0.012720,-0.003534,-0.010358,0.001134,-0.001395,0.008116,0.004788,0.006750,0.011878,-0.003942,0.001603,0.000692,0.000443,0.004492,0.003961,-0.000720,-0.004719,0.000647,-0.009157,-0.001043,0.001638,-0.002952,-0.004553,0.011159,0.015580,-0.000635,-0.008529,0.000307,0.000552,0.002338,0.003871,-0.007844,-0.008742,-0.003797,-0.007753,0.007491,-0.002196,0.001693,0.005328,0.003617,0.011313,0.007548,0.006138,-0.009370,-0.012634,-0.004411,-0.005937,0.001528,0.002492,0.002716,0.001170,-0.005856,-0.008302,0.006564,0.013223
seq6016,0.012511,0.087578,0.050045,0.037533,0.012511,0.062556,0.037533,0.075067,0.012511,0.050045,0.112600,0.025022,0.025022,0.037533,0.087578,0.062556,0.112600,0.012511,0.037533,0.050045,-0.005448,-0.007055,-0.003027,-0.001348,-0.003543,-0.004267,-0.002190,-0.000496,0.001193,-0.002851,-0.001960,0.001022,-0.003879,-0.005189,0.008661,0.005292,-0.000279,-0.002861,-0.002879,-0.005022,-0.010359,-0.011820,0.002322,-0.000252,0.001766,-0.000090,0.003815,0.002867,0.001010,0.000598,-0.003743,0.003617,0.000184,-0.002829,-0.004266,0.002886,-0.009020,-0.008339,0.004860,-0.002967,-0.003998,0.001436,0.009810,0.014565,0.002063,-0.001311,-0.001554,-0.003921,0.001224,-0.003767,0.002489,0.001322,-0.003498,0.006036,-0.002131,-0.009264,0.007384,0.008414,0.016323,0.023374
seq6017,0.069000,0.011500,0.080500,0.046000,0.023000,0.046000,0.069000,0.034500,0.000000,0.034500,0.103500,0.092000,0.046000,0.046000,0.057500,0.023000,0.046000,0.046000,0.011500,0.034500,0.003674,-0.002159,0.001723,0.004071,-0.000305,-0.001848,0.009743,0.008686,-0.006392,-0.003775,-0.005892,-0.001931,0.012583,0.004620,0.012295,0.002976,0.009140,0.004755,-0.001970,0.000110,0.003698,0.003547,0.004061,0.005552,0.001137,0.000580,0.000398,-0.001226,-0.000563,0.001657,0.010452,0.005042,0.002215,-0.000402,-0.001312,0.002317,-0.005074,-0.000893,0.002491,-0.000832,-0.003373,-0.003874,-0.002602,-0.007163,-0.000965,-0.005186,0.003084,0.001892,0.013929,0.010736,-0.002956,-0.001566,-0.004863,0.000086,0.000419,0.004365,0.006135,-0.001011,-0.008117,-0.001920
seq6018,0.046070,0.023035,0.034553,0.115176,0.000000,0.011518,0.069105,0.057588,0.011518,0.092140,0.046070,0.057588,0.011518,0.023035,0.057588,0.057588,0.057588,0.000000,0.023035,0.126693,-0.001569,-0.000518,0.001101,-0.005421,-0.006455,-0.005704,-0.000126,-0.008656,-0.003323,-0.004100,0.006975,0.004428,0.004060,-0.001382,-0.000600,-0.001865,0.004341,-0.001186,0.006178,0.002529,0.006731,0.003437,0.000624,-0.000949,0.012198,0.007441,-0.004795,-0.002703,-0.006311,-0.012848,-0.003511,-0.003820,0.011224,0.013458,-0.001130,0.001685,0.011901,0.007086,0.004700,-0.003376,0.005207,0.004745,0.000159,-0.006121,0.002039,-0.002832,-0.001148,-0.000527,0.000169,-0.004941,0.004501,0.001077,0.007677,0.009441,0.001763,-0.004977,0.006968,0.004118,0.012096,0.009430
seq6019,0.145029,0.065922,0.052738,0.065922,0.000000,0.052738,0.039553,0.092291,0.039553,0.013184,0.105475,0.052738,0.039553,0.065922,0.052738,0.065922,0.052738,0.000000,0.013184,0.039553,0.002335,-0.003069,0.000183,-0.000358,0.007681,0.012146,0.005401,0.004084,-0.001736,-0.001222,-0.000296,0.003819,0.001438,0.000660,0.005129,0.003961,-0.001497,-0.001582,0.005968,0.007159,0.005640,0.010303,-0.004650,-0.003236,0.003758,0.000779,-0.004486,-0.004659,0.009683,0.003228,-0.000316,-0.003174,-0.003982,-0.016568,-0.000064,-0.001157,-0.000603,-0.004808,-0.008510,-0.010891,-0.002237,0.000507,-0.011642,-0.009845,-0.002660,-0.003430,0.001601,0.002864,-0.004299,-0.006344,-0.001948,-0.004382,0.000603,-0.001070,-0.001933,-0.009634,-0.005699,-0.008182,-0.000671,-0.002845
seq6020,0.025518,0.076553,0.012759,0.063794,0.000000,0.000000,0.063794,0.076553,0.038276,0.051035,0.102071,0.063794,0.063794,0.025518,0.038276,0.063794,0.076553,0.012759,0.089312,0.076553,-0.002292,0.000821,-0.000077,-0.007186,0.002812,0.003819,0.000820,-0.003025,-0.006693,-0.007006,-0.007937,-0.007028,0.003263,0.006613,-0.005991,0.003753,0.005161,0.006047,-0.012467,-0.008053,0.006484,-0.006323,-0.002165,-0.001411,0.012245,0.006906,0.000989,0.003568,0.009746,0.006290,0.004655,0.004354,-0.013095,-0.009832,0.010306,0.009305,-0.001266,-0.009436,0.000883,-0.006740,0.006464,0.016676,0.016010,0.012795,-0.009407,-0.009064,-0.005156,-0.008620,-0.001836,-0.004660,-0.000020,-0.002600,-0.006541,-0.015756,-0.016028,-0.001079,0.008495,0.016182,-0.011365,0.003985
seq6021,0.075886,0.063239,0.025295,0.025295,0.000000,0.050591,0.037943,0.113830,0.012648,0.037943,0.063239,0.037943,0.025295,0.063239,0.088534,0.037943,0.088534,0.025295,0.050591,0.088534,0.004132,-0.002680,0.000687,-0.000530,-0.005173,-0.007477,-0.009904,-0.004876,-0.004361,0.002617,-0.010180,-0.009205,0.000340,-0.002541,0.001938,0.005751,0.005035,0.005426,0.007362,0.012251,-0.002463,-0.002258,-0.009899,-0.010287,-0.000064,-0.005161,-0.002594,-0.006431,0.006030,0.014090,0.000149,0.003041,-0.000487,-0.000224,0.009133,0.009802,0.001544,0.004339,0.005160,0.003056,-0.008199,-0.007879,-0.009522,-0.016243,0.002022,0.006498,-0.008595,-0.011245,0.003070,0.009573,-0.007399,-0.002199,0.000773,0.002465,0.009958,0.012981,-0.001435,-0.003882,0.004007,0.008341
seq6022,0.202350,0.050588,0.037941,0.088528,0.000000,0.075881,0.037941,0.000000,0.037941,0.025294,0.088528,0.012647,0.025294,0.025294,0.050588,0.063234,0.063234,0.000000,0.037941,0.088528,0.002376,0.005986,-0.003150,0.001129,-0.002905,-0.001715,-0.002863,-0.000527,0.001285,-0.006069,-0.002466,-0.003768,0.000605,-0.005300,-0.001151,0.000508,-0.003712,-0.006098,0.003688,-0.001393,0.005870,0.001534,-0.000831,0.000439,0.001387,0.003302,0.001494,0.001824,0.000920,-0.001047,-0.005406,0.000039,-0.001291,-0.000440,0.002241,0.002174,0.003867,-0.000319,0.006610,0.001941,-0.004681,-0.005995,-0.007016,-0.009930,-0.005948,-0.003869,-0.002036,-0.000587,-0.001554,-0.005144,-0.001234,0.005027,0.001068,0.004728,0.000886,0.004089,0.003686,0.003498,0.010368,0.004127
seq6023,0.061091,0.024437,0.048873,0.085528,0.000000,0.036655,0.036655,0.012218,0.000000,0.061091,0.061091,0.134401,0.012218,0.073310,0.048873,0.097746,0.073310,0.012218,0.036655,0.061091,0.004758,0.002831,-0.005600,-0.002441,0.004871,0.001085,-0.001938,0.001268,0.015544,0.013056,0.005291,0.001009,-0.010738,-0.013804,-0.002994,-0.000999,-0.007447,-0.010414,-0.005063,-0.004240,0.005552,0.003451,-0.012318,-0.015815,-0.006748,-0.007981,0.006000,0.002660,0.005643,-0.001106,0.013821,0.006128,-0.005400,-0.003237,-0.002589,0.000517,0.014609,0.008614,0.017423,0.004375,0.008290,0.002485,0.000123,0.002717,-0.003519,0.006906,-0.008512,-0.011408,0.009118,0.005364,0.001854,0.001342,-0.003182,0.003186,-0.003113,0.001751,-0.010603,-0.007980,0.005660,0.004428
seq6024,0.035504,0.059173,0.047338,0.023669,0.011835,0.023669,0.118346,0.023669,0.011835,0.047338,0.094677,0.059173,0.035504,0.071008,0.047338,0.130181,0.011835,0.000000,0.011835,0.082842,-0.006242,-0.007409,0.008277,0.001629,0.002341,0.002140,0.004980,0.001266,0.002289,0.001277,-0.000712,-0.006219,-0.002271,-0.009624,0.010077,0.007097,-0.004145,-0.006710,0.006567,0.006912,0.008369,0.002711,0.005663,0.006742,0.007038,0.008457,0.004042,0.003450,-0.006951,-0.012203,0.010009,0.004432,-0.007660,-0.012224,0.004883,-0.005039,0.004359,0.000045,0.003513,-0.006227,0.002824,0.001948,0.005621,0.001300,0.001358,0.012418,0.015354,0.013921,-0.006879,-0.003331,0.009271,0.005310,0.000343,-0.000783,-0.012455,-0.007300,0.007394,-0.004139,-0.011697,-0.012176
seq6025,0.040925,0.027283,0.027283,0.013642,0.027283,0.027283,0.081850,0.027283,0.013642,0.040925,0.136416,0.122775,0.027283,0.068208,0.054566,0.068208,0.068208,0.068208,0.068208,0.081850,-0.004175,0.003455,-0.002322,0.004120,0.008036,0.009968,0.002617,0.004511,-0.000229,0.008117,0.000816,-0.001203,0.016626,0.016631,0.016368,0.008876,-0.008010,-0.000255,0.006270,0.008339,0.007021,0.009015,0.000558,-0.001238,-0.007991,-0.005604,0.003582,0.005106,0.008323,-0.003020,-0.004986,-0.006481,-0.011201,-0.005753,0.002090,-0.005834,-0.010766,-0.010517,-0.009309,-0.019883,-0.002318,-0.001701,0.004147,-0.003547,-0.005719,0.000079,-0.017345,-0.009132,-0.002827,-0.011997,0.001357,-0.006125,-0.010253,-0.010441,-0.004786,-0.005361,-0.015665,-0.011989,-0.004789,-0.004583
seq6026,0.125331,0.062665,0.012533,0.062665,0.000000,0.025066,0.050132,0.050132,0.000000,0.037599,0.150397,0.075198,0.012533,0.037599,0.050132,0.100264,0.062665,0.000000,0.012533,0.075198,0.009139,0.001803,-0.001854,-0.000635,-0.002330,-0.003403,-0.002977,-0.006957,0.003867,0.003433,-0.002473,0.001197,0.002619,0.003315,0.007615,0.009967,0.000429,-0.005009,-0.004179,-0.007490,0.001520,-0.000994,0.008683,0.001443,0.004852,0.009563,-0.006923,-0.011913,-0.002236,-0.000844,-0.000099,-0.002762,0.004094,0.000750,0.001398,-0.000053,-0.002293,0.002030,-0.002753,-0.002598,0.004965,0.000328,-0.002287,-0.009340,-0.004454,-0.009043,0.006582,0.001419,0.001912,-0.006667,0.009513,0.010941,0.006564,0.000698,0.005152,0.000112,0.001054,0.006108,-0.013262,-0.019880
seq6027,0.070590,0.023530,0.011765,0.105885,0.011765,0.000000,0.058825,0.070590,0.000000,0.094120,0.105885,0.070590,0.035295,0.035295,0.023530,0.070590,0.058825,0.000000,0.011765,0.082355,-0.004782,-0.006120,0.000696,0.003119,-0.003037,0.001450,0.005745,-0.000422,0.003334,0.000252,-0.000606,-0.002138,-0.000851,-0.002151,-0.004134,-0.000451,-0.001547,0.000755,0.006962,0.004250,0.001651,-0.000149,0.001628,0.001464,0.003674,0.001297,0.002235,0.004898,0.012026,0.002641,0.003255,-0.000990,-0.006156,-0.003228,0.000472,-0.001584,0.004374,-0.001718,0.014298,0.009697,0.005261,-0.000999,-0.007636,-0.003832,0.003595,0.005119,0.002186,0.004552,0.004889,0.003404,-0.002370,0.001356,0.001235,0.004629,-0.003509,0.003441,-0.000037,0.000804,-0.003973,-0.009422
