Feature,[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G9.1],[G9.2],[G9.3]
seq7381,0.081049,0.007368,0.014736,0.014736,0.022104,0.036841,0.029473,0.022104,0.000000,0.029473,0.058945,0.036841,0.022104,0.007368,0.036841,0.051577,0.022104,0.000000,0.014736,0.081049,0.012742,0.012215,0.013137,0.013495,0.014291,0.015134,0.012265,0.013350,0.012513,0.014778,0.015389,0.014559,0.013740,0.015543,0.014004,0.013105,0.012627,0.015098,0.013774,0.011164,0.012688,0.011787,0.014389,0.012497,0.014258,0.015915,0.012355,0.013901,0.014661,0.015177,0.136282,0.012389,0.024779,0.024779,0.037168,0.061946,0.049557,0.037168,0.000000,0.049557,0.099114,0.061946,0.037168,0.012389,0.061946,0.086725,0.037168,0.000000,0.024779,0.136282,0.000279,0.000303,0.000281,0.000283,0.000298,0.000259,0.000268,0.000344,0.000267,0.000328,0.000314,0.000303,0.000291,0.000313,0.000308,0.000295,0.000270,0.000250,0.000329,0.000330,0.000330,0.000231,0.000297,0.000290,0.000323,0.000301,0.000287,0.000278,0.000281,0.000329,0.072101,0.006555,0.013109,0.013109,0.019664,0.032773,0.026218,0.019664,0.000000,0.026218,0.052437,0.032773,0.019664,0.006555,0.032773,0.045882,0.019664,0.000000,0.013109,0.072101,0.016823,0.012873,0.017113,0.016987,0.015219,0.017028,0.012490,0.015586,0.015720,0.016441,0.016827,0.015965,0.015393,0.017666,0.016207,0.016119,0.015793,0.019123,0.017937,0.012000,0.016690,0.012959,0.018391,0.016032,0.016095,0.018286,0.011117,0.014853,0.014840,0.017059,35.4320988,28.154717,29.8333333
seq7382,0.048819,0.041845,0.013948,0.020922,0.000000,0.006974,0.055793,0.034871,0.013948,0.020922,0.041845,0.006974,0.013948,0.055793,0.020922,0.048819,0.055793,0.013948,0.013948,0.027897,0.016346,0.013577,0.015346,0.017066,0.014472,0.015667,0.015069,0.014664,0.015490,0.011394,0.014549,0.012863,0.017380,0.016877,0.015571,0.013614,0.014258,0.011390,0.015902,0.011929,0.016302,0.013001,0.016862,0.016515,0.016370,0.015544,0.011617,0.013480,0.015656,0.013299,0.086743,0.074351,0.024784,0.037175,0.000000,0.012392,0.099134,0.061959,0.024784,0.037175,0.074351,0.012392,0.024784,0.099134,0.037175,0.086743,0.099134,0.024784,0.024784,0.049567,0.000289,0.000260,0.000255,0.000314,0.000266,0.000263,0.000237,0.000362,0.000303,0.000305,0.000322,0.000294,0.000264,0.000265,0.000277,0.000291,0.000265,0.000364,0.000278,0.000253,0.000324,0.000309,0.000311,0.000300,0.000360,0.000233,0.000311,0.000300,0.000233,0.000247,0.040699,0.034885,0.011628,0.017442,0.000000,0.005814,0.046513,0.029071,0.011628,0.017442,0.034885,0.005814,0.011628,0.046513,0.017442,0.040699,0.046513,0.011628,0.011628,0.023256,0.020130,0.017962,0.017804,0.021649,0.015186,0.018858,0.018407,0.018879,0.019435,0.015794,0.015551,0.017700,0.019944,0.024410,0.017171,0.016089,0.017953,0.013681,0.021119,0.014439,0.018050,0.016060,0.014530,0.021300,0.019312,0.019470,0.014786,0.014583,0.018883,0.015736,41.8271605,26.8490566,27.5248227
seq7383,0.033470,0.026776,0.006694,0.026776,0.000000,0.020082,0.060245,0.046857,0.013388,0.020082,0.066939,0.020082,0.013388,0.013388,0.026776,0.033470,0.026776,0.020082,0.020082,0.040163,0.014385,0.017325,0.016707,0.015360,0.016035,0.016135,0.014278,0.014933,0.015880,0.015654,0.014166,0.017287,0.013739,0.013777,0.013915,0.015429,0.019173,0.016509,0.014521,0.015136,0.016336,0.015273,0.014652,0.013772,0.015768,0.012508,0.014365,0.018138,0.016450,0.016879,0.061935,0.049548,0.012387,0.049548,0.000000,0.037161,0.111483,0.086709,0.024774,0.037161,0.123870,0.037161,0.024774,0.024774,0.049548,0.061935,0.049548,0.037161,0.037161,0.074322,0.000341,0.000295,0.000322,0.000302,0.000323,0.000301,0.000327,0.000306,0.000334,0.000340,0.000297,0.000271,0.000392,0.000275,0.000300,0.000313,0.000269,0.000274,0.000292,0.000297,0.000279,0.000278,0.000263,0.000336,0.000311,0.000285,0.000271,0.000258,0.000235,0.000351,0.029826,0.023861,0.005965,0.023861,0.000000,0.017895,0.053686,0.041756,0.011930,0.017895,0.059651,0.017895,0.011930,0.011930,0.023861,0.029826,0.023861,0.017895,0.017895,0.035791,0.017594,0.020469,0.019665,0.018983,0.017680,0.018089,0.016825,0.015323,0.017333,0.017947,0.019292,0.020698,0.014309,0.016149,0.016878,0.017119,0.023306,0.018205,0.013567,0.016096,0.016034,0.016583,0.015697,0.014463,0.019607,0.015731,0.012707,0.020248,0.015888,0.020303,37.1358025,28.2490566,26.7163121
seq7384,0.115662,0.050602,0.000000,0.021687,0.000000,0.014458,0.036144,0.043373,0.014458,0.028915,0.065060,0.014458,0.021687,0.014458,0.036144,0.021687,0.014458,0.000000,0.028915,0.036144,0.013270,0.013058,0.014866,0.014486,0.015652,0.017188,0.013634,0.015862,0.014136,0.012800,0.013210,0.013301,0.016322,0.012197,0.014311,0.013137,0.014864,0.015250,0.013400,0.015487,0.011695,0.014242,0.014163,0.013193,0.013990,0.014163,0.013665,0.012911,0.012130,0.015112,0.198505,0.086846,0.000000,0.037220,0.000000,0.024813,0.062033,0.074439,0.024813,0.049626,0.111659,0.024813,0.037220,0.024813,0.062033,0.037220,0.024813,0.000000,0.049626,0.062033,0.000253,0.000172,0.000274,0.000206,0.000246,0.000243,0.000227,0.000238,0.000235,0.000241,0.000238,0.000277,0.000258,0.000254,0.000267,0.000237,0.000255,0.000236,0.000254,0.000268,0.000277,0.000302,0.000202,0.000293,0.000205,0.000315,0.000149,0.000296,0.000243,0.000314,0.106886,0.046763,0.000000,0.020041,0.000000,0.013361,0.033402,0.040082,0.013361,0.026722,0.060123,0.013361,0.020041,0.013361,0.033402,0.020041,0.013361,0.000000,0.026722,0.033402,0.014468,0.015265,0.015937,0.016478,0.015743,0.018393,0.012619,0.018228,0.014349,0.013021,0.015060,0.014065,0.019865,0.014320,0.017024,0.015625,0.016815,0.017913,0.014828,0.015773,0.010724,0.012593,0.016280,0.014015,0.017599,0.015490,0.017487,0.015419,0.014166,0.016008,36.1604938,28.6716981,30.6950355
seq7385,0.116063,0.030950,0.030950,0.023213,0.015475,0.015475,0.015475,0.054163,0.000000,0.007738,0.030950,0.015475,0.015475,0.030950,0.046425,0.054163,0.046425,0.007738,0.015475,0.046425,0.012542,0.011624,0.013428,0.011602,0.013544,0.013457,0.014025,0.012428,0.013092,0.012010,0.012155,0.011282,0.012276,0.012549,0.014845,0.010886,0.013472,0.012835,0.012938,0.013470,0.014024,0.013441,0.012880,0.013468,0.013153,0.011522,0.012379,0.011486,0.012331,0.011857,0.185857,0.049562,0.049562,0.037171,0.024781,0.024781,0.024781,0.086733,0.000000,0.012390,0.049562,0.024781,0.024781,0.049562,0.074343,0.086733,0.074343,0.012390,0.024781,0.074343,0.000270,0.000325,0.000240,0.000308,0.000311,0.000289,0.000256,0.000273,0.000300,0.000256,0.000304,0.000303,0.000278,0.000322,0.000238,0.000249,0.000320,0.000278,0.000351,0.000352,0.000292,0.000298,0.000250,0.000272,0.000271,0.000262,0.000332,0.000329,0.000318,0.000318,0.094948,0.025319,0.025319,0.018990,0.012660,0.012660,0.012660,0.044309,0.000000,0.006330,0.025319,0.012660,0.012660,0.025319,0.037979,0.044309,0.037979,0.006330,0.012660,0.037979,0.017221,0.014457,0.018954,0.015194,0.017535,0.018209,0.020178,0.016010,0.017110,0.015721,0.016406,0.014067,0.015997,0.014354,0.018539,0.013748,0.015090,0.016170,0.018036,0.017601,0.017423,0.016371,0.017936,0.016746,0.019890,0.015460,0.015365,0.012892,0.015968,0.014961,41.1481481,24.3396226,27.1205674
seq7386,0.041771,0.034809,0.020886,0.027847,0.006962,0.034809,0.027847,0.041771,0.006962,0.020886,0.055695,0.027847,0.020886,0.013924,0.027847,0.041771,0.006962,0.006962,0.027847,0.062657,0.014188,0.016180,0.015845,0.015117,0.016440,0.013461,0.015045,0.013451,0.014183,0.014439,0.014512,0.012134,0.015259,0.014773,0.014501,0.015614,0.014762,0.015371,0.015815,0.013953,0.010667,0.014634,0.015404,0.014151,0.016092,0.015801,0.013626,0.014639,0.015484,0.017510,0.074237,0.061864,0.037118,0.049491,0.012373,0.061864,0.049491,0.074237,0.012373,0.037118,0.098982,0.049491,0.037118,0.024746,0.049491,0.074237,0.012373,0.012373,0.049491,0.111355,0.000370,0.000351,0.000327,0.000355,0.000332,0.000311,0.000363,0.000323,0.000381,0.000365,0.000325,0.000364,0.000354,0.000386,0.000377,0.000378,0.000351,0.000345,0.000324,0.000305,0.000390,0.000348,0.000347,0.000254,0.000252,0.000327,0.000360,0.000345,0.000278,0.000294,0.037674,0.031395,0.018837,0.025116,0.006279,0.031395,0.025116,0.037674,0.006279,0.018837,0.050231,0.025116,0.018837,0.012558,0.025116,0.037674,0.006279,0.006279,0.025116,0.056510,0.016401,0.016684,0.020213,0.015936,0.018851,0.015500,0.018418,0.013305,0.016582,0.015075,0.016869,0.015891,0.014206,0.017029,0.017973,0.018862,0.017324,0.017393,0.016405,0.014873,0.010522,0.016502,0.013855,0.017607,0.018272,0.018541,0.016065,0.018302,0.015011,0.019220,37.8888889,27.9018868,26.7198582
seq7387,0.036299,0.065338,0.021779,0.036299,0.000000,0.014520,0.065338,0.029039,0.007260,0.014520,0.043559,0.036299,0.029039,0.007260,0.058078,0.058078,0.036299,0.000000,0.000000,0.021779,0.014478,0.015891,0.013379,0.013749,0.014169,0.014809,0.012903,0.013100,0.013892,0.014895,0.015091,0.015030,0.015925,0.012216,0.016092,0.013477,0.015409,0.014869,0.012681,0.013504,0.014286,0.015777,0.014221,0.011870,0.015837,0.010376,0.012008,0.010667,0.014067,0.014543,0.062061,0.111709,0.037236,0.062061,0.000000,0.024824,0.111709,0.049649,0.012412,0.024824,0.074473,0.062061,0.049649,0.012412,0.099297,0.099297,0.062061,0.000000,0.000000,0.037236,0.000243,0.000228,0.000180,0.000217,0.000234,0.000247,0.000207,0.000235,0.000229,0.000266,0.000178,0.000247,0.000240,0.000228,0.000241,0.000214,0.000290,0.000228,0.000206,0.000269,0.000289,0.000192,0.000233,0.000261,0.000265,0.000246,0.000225,0.000267,0.000228,0.000193,0.034550,0.062191,0.020730,0.034550,0.000000,0.013820,0.062191,0.027640,0.006910,0.013820,0.041460,0.034550,0.027640,0.006910,0.055281,0.055281,0.034550,0.000000,0.000000,0.020730,0.018262,0.016367,0.012860,0.015760,0.013287,0.015505,0.014124,0.014902,0.012543,0.017459,0.013098,0.015766,0.016830,0.012962,0.017065,0.013214,0.013758,0.018402,0.014638,0.013313,0.013694,0.018767,0.014180,0.011593,0.017177,0.013853,0.014088,0.013743,0.015478,0.014507,41.5555556,23.5358491,22.7269504
seq7388,0.049847,0.021363,0.021363,0.035605,0.007121,0.064089,0.071210,0.014242,0.007121,0.007121,0.078331,0.021363,0.014242,0.000000,0.007121,0.078331,0.035605,0.000000,0.014242,0.021363,0.016241,0.014906,0.013910,0.014414,0.015218,0.015606,0.010646,0.015285,0.014365,0.013484,0.012805,0.017563,0.015799,0.013551,0.014388,0.015261,0.013065,0.012565,0.014846,0.014465,0.013427,0.015179,0.017264,0.011339,0.013560,0.013011,0.013146,0.011977,0.014785,0.018247,0.086980,0.037277,0.037277,0.062129,0.012426,0.111831,0.124257,0.024851,0.012426,0.012426,0.136683,0.037277,0.024851,0.000000,0.012426,0.136683,0.062129,0.000000,0.024851,0.037277,0.000217,0.000243,0.000157,0.000216,0.000223,0.000206,0.000176,0.000228,0.000229,0.000179,0.000197,0.000222,0.000222,0.000186,0.000190,0.000215,0.000178,0.000179,0.000218,0.000208,0.000173,0.000217,0.000206,0.000139,0.000189,0.000226,0.000164,0.000169,0.000206,0.000164,0.051684,0.022150,0.022150,0.036917,0.007383,0.066450,0.073834,0.014767,0.007383,0.007383,0.081217,0.022150,0.014767,0.000000,0.007383,0.081217,0.036917,0.000000,0.014767,0.022150,0.016912,0.013782,0.012547,0.013757,0.013636,0.016166,0.010984,0.014393,0.013767,0.012150,0.013697,0.015246,0.013574,0.012180,0.014434,0.015309,0.010952,0.012906,0.015860,0.011799,0.011905,0.013818,0.014903,0.011485,0.013905,0.014065,0.012819,0.012007,0.012419,0.017953,41.691358,19.0188679,25.3546099
seq7389,0.070370,0.007037,0.007037,0.021111,0.014074,0.021111,0.000000,0.063333,0.007037,0.035185,0.049259,0.035185,0.021111,0.035185,0.042222,0.028148,0.049259,0.007037,0.007037,0.042222,0.012982,0.014084,0.012574,0.013553,0.016020,0.013017,0.014164,0.014670,0.014419,0.014928,0.015069,0.015329,0.014464,0.014227,0.013703,0.016305,0.015197,0.014184,0.013468,0.015543,0.014009,0.013195,0.016208,0.015715,0.014039,0.015318,0.015213,0.013996,0.016180,0.015271,0.123789,0.012379,0.012379,0.037137,0.024758,0.037137,0.000000,0.111410,0.012379,0.061895,0.086652,0.061895,0.037137,0.061895,0.074273,0.049516,0.086652,0.012379,0.012379,0.074273,0.000255,0.000280,0.000329,0.000364,0.000342,0.000399,0.000364,0.000345,0.000330,0.000249,0.000220,0.000213,0.000303,0.000328,0.000305,0.000450,0.000381,0.000406,0.000329,0.000274,0.000339,0.000243,0.000245,0.000266,0.000291,0.000393,0.000356,0.000382,0.000367,0.000343,0.058004,0.005800,0.005800,0.017401,0.011601,0.017401,0.000000,0.052204,0.005800,0.029002,0.040603,0.029002,0.017401,0.029002,0.034802,0.023202,0.040603,0.005800,0.005800,0.034802,0.016954,0.017514,0.014790,0.016954,0.019931,0.016412,0.019442,0.016995,0.016548,0.018278,0.017722,0.018957,0.016962,0.017398,0.017325,0.017910,0.017301,0.018038,0.015404,0.016862,0.020255,0.016681,0.020450,0.021216,0.019115,0.016087,0.019913,0.016518,0.020396,0.017643,36.2592593,29.2150943,30.7836879
seq7390,0.035633,0.042759,0.007127,0.049886,0.014253,0.007127,0.042759,0.028506,0.028506,0.042759,0.035633,0.028506,0.028506,0.021380,0.014253,0.064139,0.007127,0.014253,0.007127,0.049886,0.013808,0.015530,0.012622,0.013342,0.016247,0.017043,0.013849,0.014953,0.013235,0.015205,0.014432,0.012634,0.015489,0.015587,0.014657,0.013678,0.014176,0.015317,0.013161,0.013763,0.015924,0.015118,0.013015,0.013375,0.015391,0.016043,0.009234,0.014252,0.015805,0.012995,0.061815,0.074178,0.012363,0.086541,0.024726,0.012363,0.074178,0.049452,0.049452,0.074178,0.061815,0.049452,0.049452,0.037089,0.024726,0.111266,0.012363,0.024726,0.012363,0.086541,0.000367,0.000350,0.000325,0.000389,0.000334,0.000435,0.000339,0.000286,0.000390,0.000364,0.000411,0.000322,0.000375,0.000435,0.000348,0.000435,0.000382,0.000386,0.000347,0.000274,0.000337,0.000366,0.000376,0.000390,0.000350,0.000418,0.000299,0.000382,0.000347,0.000405,0.031961,0.038353,0.006392,0.044745,0.012784,0.006392,0.038353,0.025569,0.025569,0.038353,0.031961,0.025569,0.025569,0.019176,0.012784,0.057529,0.006392,0.012784,0.006392,0.044745,0.018674,0.021636,0.013961,0.013125,0.017596,0.019214,0.016832,0.015604,0.013962,0.020262,0.017186,0.014938,0.019601,0.017434,0.017610,0.014598,0.017777,0.016311,0.013925,0.013807,0.016563,0.018628,0.012700,0.013727,0.016602,0.019369,0.008463,0.015591,0.018672,0.014260,41.1604938,28.2188679,25.6312057
seq7391,0.076749,0.030700,0.053725,0.007675,0.007675,0.015350,0.030700,0.061400,0.015350,0.007675,0.046050,0.007675,0.023025,0.000000,0.053725,0.122799,0.000000,0.000000,0.015350,0.038375,0.013483,0.013998,0.010301,0.013988,0.015065,0.015092,0.011571,0.016055,0.014990,0.011416,0.014659,0.015337,0.009081,0.012179,0.014876,0.011143,0.012635,0.014143,0.014888,0.011140,0.013875,0.014285,0.008414,0.012001,0.013648,0.010817,0.010750,0.012146,0.012340,0.011690,0.123942,0.049577,0.086760,0.012394,0.012394,0.024788,0.049577,0.099154,0.024788,0.012394,0.074365,0.012394,0.037183,0.000000,0.086760,0.198308,0.000000,0.000000,0.024788,0.061971,0.000169,0.000196,0.000247,0.000246,0.000292,0.000354,0.000332,0.000331,0.000283,0.000293,0.000284,0.000258,0.000281,0.000298,0.000314,0.000267,0.000275,0.000273,0.000259,0.000237,0.000217,0.000220,0.000233,0.000248,0.000299,0.000317,0.000357,0.000359,0.000368,0.000354,0.067700,0.027080,0.047390,0.006770,0.006770,0.013540,0.027080,0.054160,0.013540,0.006770,0.040620,0.006770,0.020310,0.000000,0.047390,0.108319,0.000000,0.000000,0.013540,0.033850,0.014309,0.016131,0.012762,0.015225,0.018459,0.018130,0.015097,0.018547,0.016729,0.016647,0.015523,0.018001,0.011973,0.013610,0.016470,0.013745,0.015903,0.017318,0.017738,0.013655,0.017800,0.017781,0.010602,0.013696,0.017093,0.012755,0.009594,0.012617,0.015615,0.014877,41.382716,20.7584906,25.0212766
seq7392,0.060473,0.013438,0.013438,0.020158,0.006719,0.000000,0.000000,0.073912,0.006719,0.040315,0.060473,0.013438,0.033596,0.013438,0.026877,0.060473,0.020158,0.006719,0.026877,0.040315,0.015037,0.014463,0.016391,0.016182,0.013055,0.014329,0.015112,0.018312,0.017578,0.017612,0.015013,0.012065,0.017213,0.016095,0.016162,0.014551,0.013680,0.011855,0.013100,0.017713,0.018489,0.017038,0.012778,0.015236,0.017455,0.018001,0.016481,0.014458,0.015702,0.011305,0.111286,0.024730,0.024730,0.037095,0.012365,0.000000,0.000000,0.136017,0.012365,0.074191,0.111286,0.024730,0.061826,0.024730,0.049461,0.111286,0.037095,0.012365,0.049461,0.074191,0.000374,0.000228,0.000356,0.000281,0.000373,0.000371,0.000383,0.000344,0.000411,0.000329,0.000380,0.000289,0.000390,0.000348,0.000384,0.000300,0.000422,0.000353,0.000474,0.000290,0.000437,0.000395,0.000391,0.000356,0.000426,0.000373,0.000373,0.000304,0.000344,0.000311,0.051279,0.011395,0.011395,0.017093,0.005698,0.000000,0.000000,0.062674,0.005698,0.034186,0.051279,0.011395,0.028488,0.011395,0.022791,0.051279,0.017093,0.005698,0.022791,0.034186,0.017212,0.016962,0.017716,0.017326,0.016674,0.017656,0.021487,0.019982,0.018876,0.019259,0.019767,0.016644,0.019698,0.015824,0.014568,0.015966,0.016409,0.013403,0.015652,0.017937,0.022429,0.016885,0.019334,0.017669,0.022873,0.022642,0.017742,0.019139,0.019136,0.017321,35.3333333,28.8528302,32.7269504
seq7393,0.014639,0.021958,0.021958,0.058554,0.021958,0.007319,0.043916,0.036596,0.007319,0.051235,0.029277,0.029277,0.007319,0.043916,0.029277,0.065873,0.014639,0.000000,0.036596,0.043916,0.016689,0.014512,0.013526,0.013359,0.016490,0.013355,0.013335,0.015336,0.012920,0.011186,0.015766,0.012551,0.014217,0.012630,0.014590,0.014452,0.013971,0.013540,0.013547,0.015907,0.011271,0.012862,0.011873,0.014098,0.013562,0.013843,0.015052,0.014123,0.012487,0.013411,0.024696,0.037044,0.037044,0.098785,0.037044,0.012348,0.074088,0.061740,0.012348,0.086437,0.049392,0.049392,0.012348,0.074088,0.049392,0.111133,0.024696,0.000000,0.061740,0.074088,0.000437,0.000373,0.000337,0.000377,0.000375,0.000376,0.000381,0.000400,0.000381,0.000334,0.000440,0.000471,0.000393,0.000402,0.000397,0.000444,0.000434,0.000421,0.000367,0.000397,0.000458,0.000382,0.000466,0.000409,0.000416,0.000464,0.000407,0.000388,0.000423,0.000402,0.011633,0.017449,0.017449,0.046531,0.017449,0.005816,0.034898,0.029082,0.005816,0.040715,0.023266,0.023266,0.005816,0.034898,0.023266,0.052348,0.011633,0.000000,0.029082,0.034898,0.020210,0.018449,0.017470,0.015757,0.022179,0.015124,0.018491,0.018213,0.017455,0.013971,0.021018,0.016586,0.019179,0.016726,0.019610,0.018787,0.018763,0.015403,0.017093,0.019795,0.016126,0.014338,0.017252,0.019231,0.017100,0.019158,0.020041,0.018276,0.014961,0.017925,42.7407407,29.8490566,23.3014184
seq7394,0.069081,0.053730,0.023027,0.061405,0.000000,0.015351,0.038378,0.023027,0.015351,0.023027,0.007676,0.038378,0.023027,0.023027,0.069081,0.046054,0.007676,0.007676,0.030703,0.038378,0.011952,0.010974,0.012823,0.015261,0.013521,0.014082,0.012922,0.012563,0.012749,0.010627,0.014003,0.011151,0.011983,0.011705,0.013019,0.014252,0.015569,0.014216,0.014944,0.013366,0.011580,0.009660,0.012067,0.010729,0.013754,0.014365,0.011503,0.013445,0.014122,0.013040,0.111501,0.086723,0.037167,0.099112,0.000000,0.024778,0.061945,0.037167,0.024778,0.037167,0.012389,0.061945,0.037167,0.037167,0.111501,0.074334,0.012389,0.012389,0.049556,0.061945,0.000262,0.000270,0.000264,0.000249,0.000250,0.000284,0.000258,0.000255,0.000300,0.000312,0.000250,0.000295,0.000340,0.000275,0.000303,0.000303,0.000283,0.000266,0.000276,0.000359,0.000321,0.000317,0.000288,0.000400,0.000367,0.000330,0.000299,0.000261,0.000324,0.000321,0.056738,0.044129,0.018913,0.050434,0.000000,0.012608,0.031521,0.018913,0.012608,0.018913,0.006304,0.031521,0.018913,0.018913,0.056738,0.037825,0.006304,0.006304,0.025217,0.031521,0.015642,0.013645,0.016021,0.019938,0.017564,0.016850,0.015607,0.015535,0.017697,0.013134,0.021096,0.013276,0.016327,0.017186,0.017188,0.019867,0.020773,0.017685,0.019139,0.014075,0.014541,0.009597,0.017465,0.013454,0.018387,0.020234,0.015784,0.016321,0.016749,0.014888,45.7037037,28.5056604,20.6737589
seq7395,0.066756,0.029670,0.022252,0.037087,0.014835,0.007417,0.007417,0.059339,0.000000,0.029670,0.044504,0.051922,0.022252,0.000000,0.029670,0.074174,0.044504,0.000000,0.007417,0.044504,0.013774,0.012118,0.013149,0.014410,0.013146,0.012585,0.016747,0.013661,0.014561,0.015716,0.011752,0.012229,0.015445,0.012616,0.012440,0.014917,0.012893,0.012076,0.014939,0.010600,0.016990,0.013925,0.011779,0.014320,0.012300,0.012516,0.015959,0.012725,0.013438,0.012882,0.111456,0.049536,0.037152,0.061920,0.024768,0.012384,0.012384,0.099072,0.000000,0.049536,0.074304,0.086688,0.037152,0.000000,0.049536,0.123840,0.074304,0.000000,0.012384,0.074304,0.000314,0.000330,0.000242,0.000329,0.000312,0.000372,0.000334,0.000273,0.000344,0.000341,0.000301,0.000334,0.000383,0.000298,0.000316,0.000305,0.000316,0.000377,0.000268,0.000285,0.000331,0.000307,0.000291,0.000307,0.000259,0.000320,0.000296,0.000241,0.000257,0.000300,0.059753,0.026557,0.019918,0.033196,0.013279,0.006639,0.006639,0.053114,0.000000,0.026557,0.039836,0.046475,0.019918,0.000000,0.026557,0.066393,0.039836,0.000000,0.006639,0.039836,0.013105,0.014254,0.014929,0.017730,0.013806,0.013249,0.017451,0.015063,0.016254,0.017972,0.013720,0.012599,0.016109,0.014575,0.015720,0.018127,0.014534,0.013556,0.018052,0.013420,0.019879,0.019804,0.013250,0.015967,0.013115,0.015106,0.019324,0.017478,0.014958,0.015753,37.654321,23.2415094,25.751773
seq7396,0.045108,0.015036,0.045108,0.045108,0.000000,0.015036,0.075180,0.037590,0.030072,0.022554,0.015036,0.052626,0.022554,0.030072,0.007518,0.030072,0.030072,0.007518,0.022554,0.052626,0.010354,0.014128,0.014266,0.014306,0.014024,0.013713,0.014681,0.014483,0.013776,0.011797,0.010305,0.010481,0.011467,0.014233,0.013913,0.012363,0.013309,0.012375,0.016926,0.015916,0.014433,0.012258,0.011348,0.011568,0.011519,0.013021,0.015251,0.013598,0.013187,0.015564,0.074164,0.024721,0.074164,0.074164,0.000000,0.024721,0.123606,0.061803,0.049442,0.037082,0.024721,0.086524,0.037082,0.049442,0.012361,0.049442,0.049442,0.012361,0.037082,0.086524,0.000314,0.000383,0.000358,0.000316,0.000340,0.000355,0.000325,0.000338,0.000353,0.000401,0.000410,0.000370,0.000371,0.000378,0.000381,0.000340,0.000392,0.000375,0.000439,0.000337,0.000351,0.000381,0.000421,0.000458,0.000418,0.000418,0.000354,0.000393,0.000370,0.000310,0.038908,0.012969,0.038908,0.038908,0.000000,0.012969,0.064847,0.032423,0.025939,0.019454,0.012969,0.045393,0.019454,0.025939,0.006485,0.025939,0.025939,0.006485,0.019454,0.045393,0.012438,0.014837,0.018349,0.017556,0.014974,0.015839,0.016149,0.016810,0.019035,0.014688,0.012910,0.014672,0.015148,0.017513,0.016463,0.013790,0.015118,0.012455,0.022162,0.019420,0.018836,0.015392,0.013749,0.016083,0.015975,0.016189,0.016387,0.013774,0.015466,0.019048,43.,24.4301887,20.1276596
